Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,Predicted_Demand,XGB_Sales_Pred
8/10/2023,2,3,3,3,183,82,44,79.43,63.55,10,2,0,60.58,2,11.11,5,68.79639409,3,10,32,3,149,140.34189
8/10/2023,2,4,3,1,326,58,157,64.53,78.89,15,3,0,83.28,3,11.56,2,63.29770563,3,10,32,3,56,53.183296
8/10/2023,2,5,3,1,50,37,150,48.4,23.3,10,1,0,28.03,1,8.21,2,42.16968972,3,10,32,3,43,38.337673
8/10/2023,2,6,2,2,418,272,74,282.44,62.36,15,2,0,59.23,4,7.48,5,35.57975443,3,10,32,3,239,232.1024
8/10/2023,2,7,2,2,231,200,133,192.33,53.68,20,4,1,48.75,4,8.78,5,61.40703846,3,10,32,3,178,171.97678
8/10/2023,2,8,2,1,341,168,186,186.67,46.27,0,2,1,49.16,1,8.02,5,53.69658275,3,10,32,3,170,166.19548
8/10/2023,2,9,2,3,191,65,70,64.27,84.69,10,1,1,84.98,3,8.94,2,62.33589392,3,10,32,3,48,45.200058
8/10/2023,2,10,2,2,375,272,40,269.79,82.31,5,2,1,84.55,4,8.73,5,33.90688456,3,10,32,3,228,227.81718
8/10/2023,2,11,2,3,191,52,170,44.1,61.12,10,2,0,64.58,2,7.23,2,66.37281608,3,10,32,3,58,47.490532
8/10/2023,2,12,2,4,382,244,175,245.7,83.08,0,4,1,83.14,3,8.95,5,42.46844304,3,10,32,3,244,238.44414
8/10/2023,2,13,2,2,358,314,170,316.49,32.31,5,2,0,34.25,2,4.51,5,37.39417822,3,10,32,3,295,286.53552
8/10/2023,2,14,1,1,401,223,75,238.6,28.01,0,1,0,29.28,3,2.44,5,67.57995766,3,10,32,3,236,238.15788
8/10/2023,2,15,1,4,421,367,63,376.74,15.11,10,4,1,19.75,1,4.66,5,31.80909156,3,10,32,3,323,314.29013
8/10/2023,2,16,1,2,431,21,69,11.15,66.89,10,2,0,65.18,1,4.66,2,40.85396127,3,10,32,3,34,34.66173
8/10/2023,2,17,1,1,251,223,90,240.57,94.05,10,3,0,97.95,4,3.79,5,41.23738039,3,10,32,3,230,233.68047
8/10/2023,2,18,1,4,375,87,47,83.13,37.5,5,3,1,36.84,3,6.71,5,60.88979077,3,10,32,3,160,158.87201
8/10/2023,2,19,1,4,419,399,198,410.44,51.38,0,3,0,47.86,2,5.3,5,58.27429375,3,10,32,3,363,346.3375
8/10/2023,2,20,1,2,139,45,69,58.44,83.9,15,1,0,80.11,4,7.46,2,32.96178607,3,10,32,3,28,19.935593
8/10/2023,3,1,3,2,79,28,42,20.76,87.3,10,2,0,89.76,4,5.1,2,68.02857226,3,10,32,3,52,49.702007
8/10/2023,3,2,3,1,377,295,36,298.91,11.61,0,2,1,7.66,2,12.37,5,36.24074562,3,10,32,3,281,273.08795
8/10/2023,3,3,3,4,334,65,77,71.11,87.58,10,1,1,83.62,1,7.78,2,30.82337977,3,10,32,3,55,48.62141
8/10/2023,3,4,3,3,434,179,125,194.66,77.06,20,1,1,74.0,3,8.9,5,37.33618039,3,10,32,3,177,161.66173
8/10/2023,3,5,3,1,256,51,174,43.29,16.01,20,3,0,16.15,1,10.6,2,42.16968972,3,10,32,3,55,48.41156
8/10/2023,3,6,2,2,240,16,69,24.02,27.78,10,3,1,23.44,2,3.03,2,35.57975443,3,10,32,3,41,33.53231
8/10/2023,3,7,2,3,390,274,49,274.54,80.52,20,1,0,84.55,2,3.74,5,50.56937754,3,10,32,3,243,234.26126
8/10/2023,3,8,2,2,148,28,146,27.47,96.95,0,3,0,96.16,3,8.45,2,31.85801651,3,10,32,3,42,39.799286
8/10/2023,3,9,2,2,85,74,86,82.13,14.49,20,2,0,12.71,4,8.37,2,67.95542149,3,10,32,3,58,50.94901
8/10/2023,3,10,2,2,216,51,52,52.38,60.3,20,4,0,63.13,1,7.73,5,33.90688456,3,10,32,3,118,101.89869
8/10/2023,3,11,2,2,326,29,195,31.98,68.35,10,4,0,67.4,1,8.16,2,49.8070764,3,10,32,3,36,31.065329
8/10/2023,3,12,2,1,191,36,55,48.73,46.16,10,4,1,46.89,3,7.71,2,40.35119926,3,10,32,3,55,57.0911
8/10/2023,3,13,2,4,167,155,184,149.54,21.79,20,2,1,22.72,2,5.31,2,68.78338511,3,10,32,3,100,97.88831
8/10/2023,3,14,1,3,440,287,91,291.39,27.78,15,2,0,28.54,1,5.73,5,66.8749694,3,10,32,3,290,266.25888
8/10/2023,3,15,1,3,357,95,199,110.52,95.14,5,4,0,90.29,3,6.08,2,43.01321323,3,10,32,3,59,60.549824
8/10/2023,3,16,1,2,274,217,34,226.7,69.95,10,1,1,68.37,2,4.57,5,40.85396127,3,10,32,3,211,196.2647
8/10/2023,3,17,1,3,375,292,42,290.39,54.02,15,1,1,53.06,2,3.82,5,62.08787923,3,10,32,3,283,272.34085
8/10/2023,3,18,1,3,136,105,172,97.12,41.08,20,4,0,41.13,4,6.72,2,37.94862726,3,10,32,3,101,92.478645
8/10/2023,3,19,1,2,336,19,87,23.79,14.11,20,3,0,12.72,3,3.24,2,62.61845714,3,10,32,3,71,57.875507
8/10/2023,3,20,1,1,228,155,167,150.79,20.78,0,1,1,25.16,4,5.27,2,60.85081387,3,10,32,3,83,71.038765
8/10/2023,4,1,3,1,271,212,86,205.63,27.55,20,3,0,31.39,3,8.89,5,44.98160475,3,10,32,3,194,190.7726
8/10/2023,4,2,3,4,159,153,173,171.11,27.29,10,4,1,31.65,3,11.23,2,32.32334449,3,10,32,3,108,114.10905
8/10/2023,4,3,3,3,404,403,115,405.5,98.03,15,2,0,99.84,4,7.75,5,68.79639409,3,10,32,3,352,353.77203
8/10/2023,4,4,3,1,67,49,145,48.72,83.33,0,2,0,79.07,1,8.81,2,63.29770563,3,10,32,3,36,24.438015
8/10/2023,4,5,3,2,437,145,140,154.69,12.62,5,1,0,13.04,4,8.82,5,50.99025727,3,10,32,3,167,166.43365
8/10/2023,4,6,2,4,135,129,194,144.16,95.56,5,2,1,91.96,2,4.14,2,41.68578594,3,10,32,3,87,86.725815
8/10/2023,4,7,2,1,214,145,27,148.14,74.5,5,4,1,75.63,4,6.26,5,48.24279937,3,10,32,3,171,165.27547
8/10/2023,4,8,2,4,289,184,178,174.33,34.48,10,1,1,36.22,3,6.24,2,54.30179408,3,10,32,3,98,91.81695
8/10/2023,4,9,2,1,87,59,169,60.48,50.63,5,3,1,45.74,2,5.32,2,32.60206372,3,10,32,3,39,33.90168
8/10/2023,4,10,2,4,189,71,33,74.8,32.62,15,4,0,33.26,3,5.81,5,57.36932106,3,10,32,3,133,129.02203
8/10/2023,4,11,2,2,355,15,157,18.1,53.72,5,2,1,51.75,4,8.22,2,49.8070764,3,10,32,3,42,37.584232
8/10/2023,4,12,2,2,260,1,177,19.65,25.54,0,3,1,27.51,4,7.78,2,56.50089137,3,10,32,3,55,51.80306
8/10/2023,4,13,2,3,65,8,50,22.25,97.43,15,1,1,98.38,4,8.22,2,61.00531293,3,10,32,3,57,45.6804
8/10/2023,4,14,1,4,186,145,39,142.26,13.55,20,4,0,13.26,4,3.23,5,53.91599915,3,10,32,3,188,180.69762
8/10/2023,4,15,1,1,440,251,52,268.2,61.04,10,2,1,57.0,4,3.31,5,33.53970008,3,10,32,3,254,249.53046
8/10/2023,4,16,1,3,82,60,117,79.64,72.4,20,1,1,76.54,4,7.53,2,44.27013307,3,10,32,3,48,46.66511
8/10/2023,4,17,1,3,315,52,100,61.51,51.4,20,2,1,54.46,4,5.25,2,62.08787923,3,10,32,3,62,64.16112
8/10/2023,4,18,1,4,300,186,102,191.73,31.95,10,1,1,35.9,3,5.19,5,60.88979077,3,10,32,3,180,178.64156
8/10/2023,4,19,1,3,51,15,21,20.74,94.08,15,3,1,90.72,3,2.2,2,59.16028672,3,10,32,3,73,57.627743
8/10/2023,4,20,1,1,196,142,161,132.36,16.45,5,2,1,21.14,3,5.16,2,60.85081387,3,10,32,3,88,73.7006
8/10/2023,5,1,3,4,445,408,49,405.69,81.13,20,3,0,83.19,1,9.0,5,59.27975767,3,10,32,3,357,337.28223
8/10/2023,5,2,3,3,459,179,142,190.01,10.67,5,4,0,15.25,1,14.04,5,64.64704583,3,10,32,3,193,189.21327
8/10/2023,5,3,3,3,499,459,154,455.04,56.53,20,2,0,55.12,4,10.97,5,68.79639409,3,10,32,3,352,336.6078
8/10/2023,5,4,3,4,425,63,109,61.65,65.06,10,4,0,67.66,4,11.42,2,37.27299869,3,10,32,3,37,36.312725
8/10/2023,5,5,3,3,233,211,107,213.65,47.08,5,4,0,51.85,3,14.78,5,41.64916561,3,10,32,3,187,175.86084
8/10/2023,5,6,2,4,151,12,54,21.42,80.14,0,4,0,75.5,1,5.54,2,41.68578594,3,10,32,3,51,42.874466
8/10/2023,5,7,2,1,63,28,84,35.68,23.54,5,1,1,20.05,3,9.34,2,48.24279937,3,10,32,3,50,44.621048
8/10/2023,5,8,2,2,236,24,86,15.33,89.23,0,4,0,94.06,4,4.91,2,31.85801651,3,10,32,3,39,39.223442
8/10/2023,5,9,2,2,138,8,49,-1.93,75.33,10,3,1,76.99,4,4.34,2,67.95542149,3,10,32,3,35,21.94883
8/10/2023,5,10,2,4,134,58,76,61.19,72.94,15,1,1,70.72,2,9.76,2,57.36932106,3,10,32,3,45,49.057274
8/10/2023,5,11,2,1,312,243,120,248.33,34.09,15,1,0,37.13,4,4.48,5,34.88152939,3,10,32,3,215,208.79752
8/10/2023,5,12,2,2,419,206,70,196.95,85.75,0,4,0,82.66,4,9.28,5,56.50089137,3,10,32,3,205,190.75586
8/10/2023,5,13,2,1,91,70,41,62.72,67.59,15,1,1,67.76,1,4.8,5,51.86841117,3,10,32,3,152,139.29263
8/10/2023,5,14,1,3,102,41,91,37.23,80.1,5,2,1,81.78,2,5.15,2,66.8749694,3,10,32,3,56,51.681614
8/10/2023,5,15,1,2,315,97,119,109.6,71.52,15,1,0,76.37,2,5.29,2,37.8393145,3,10,32,3,89,75.60823
8/10/2023,5,16,1,1,165,31,90,23.45,61.98,15,4,0,65.66,4,3.25,2,45.54709159,3,10,32,3,45,37.859573
8/10/2023,5,17,1,3,495,201,180,200.48,79.16,15,1,0,82.27,4,5.75,5,62.08787923,3,10,32,3,206,204.56198
8/10/2023,5,18,1,3,201,54,142,70.36,14.71,20,2,0,16.9,1,6.66,2,37.94862726,3,10,32,3,51,46.498196
8/10/2023,5,19,1,2,300,16,66,33.46,11.09,15,4,1,8.53,4,4.26,2,62.61845714,3,10,32,3,73,67.48077
8/10/2023,5,20,1,2,55,49,95,49.57,64.7,20,4,1,63.96,2,5.74,2,32.96178607,3,10,32,3,31,21.406929
8/11/2023,1,1,3,4,422,90,149,96.63,20.54,10,2,1,21.62,3,14.04,2,59.27975767,4,11,32,3,62,57.655655
8/11/2023,1,2,3,4,144,48,179,41.93,26.58,10,1,0,27.59,1,13.58,2,32.32334449,4,11,32,3,57,56.89549
8/11/2023,1,3,3,2,327,60,188,72.73,37.02,20,1,0,35.34,4,5.43,2,58.32290311,4,11,32,3,65,52.727608
8/11/2023,1,4,3,4,66,30,142,45.71,88.8,5,4,1,93.14,3,7.41,2,37.27299869,4,11,32,3,28,38.589508
8/11/2023,1,5,3,2,283,59,170,52.26,82.14,5,3,1,80.77,4,6.04,2,50.99025727,4,11,32,3,42,26.615242
8/11/2023,1,6,2,3,214,179,145,174.64,21.42,5,4,1,17.66,1,7.77,5,44.65447373,4,11,32,3,177,159.40483
8/11/2023,1,7,2,1,205,49,182,66.99,21.8,20,4,1,19.66,3,9.77,2,48.24279937,4,11,32,3,48,34.55273
8/11/2023,1,8,2,3,80,49,120,49.57,64.1,15,4,1,63.77,2,5.47,2,36.82096495,4,11,32,3,41,29.608744
8/11/2023,1,9,2,1,131,66,55,62.33,43.92,10,1,1,43.9,1,5.65,5,32.60206372,4,11,32,3,116,103.47189
8/11/2023,1,10,2,2,182,42,43,54.14,87.06,5,4,0,84.71,3,5.76,5,33.90688456,4,11,32,3,110,105.12657
8/11/2023,1,11,2,2,212,97,101,96.69,67.4,20,1,1,63.59,4,5.66,2,49.8070764,4,11,32,3,73,60.704376
8/11/2023,1,12,2,1,452,183,189,174.81,15.16,10,2,0,16.7,3,4.77,2,40.35119926,4,11,32,3,104,71.55381
8/11/2023,1,13,2,2,404,197,120,215.7,27.1,0,3,0,28.98,2,3.02,5,37.39417822,4,11,32,3,195,191.56064
8/11/2023,1,14,1,2,303,125,180,131.45,99.44,5,1,0,98.56,4,5.81,2,65.79309402,4,11,32,3,100,95.95467
8/11/2023,1,15,1,2,209,78,112,74.5,20.44,0,2,0,17.25,4,6.98,2,37.8393145,4,11,32,3,76,76.7544
8/11/2023,1,16,1,4,140,64,64,65.47,65.9,0,1,0,70.35,4,5.54,5,63.14950037,4,11,32,3,125,126.210396
8/11/2023,1,17,1,1,170,126,162,119.36,10.66,5,4,0,12.54,2,6.29,2,41.23738039,4,11,32,3,84,82.381874
8/11/2023,1,18,1,2,471,52,95,54.86,34.5,15,2,1,35.55,2,5.28,2,69.47547746,4,11,32,3,54,50.0279
8/11/2023,1,19,1,2,312,24,24,23.86,72.98,10,2,1,71.27,1,4.97,2,62.61845714,4,11,32,3,60,48.425613
8/11/2023,1,20,1,3,328,143,164,162.46,99.37,15,2,1,103.56,2,4.72,2,34.63476238,4,11,32,3,80,82.214165
8/11/2023,2,1,3,4,220,97,136,89.47,15.36,0,2,0,20.1,3,8.38,2,59.27975767,4,11,32,3,104,88.46059
8/11/2023,2,2,3,1,129,70,113,77.18,62.53,0,4,1,62.4,1,13.24,2,36.24074562,4,11,32,3,85,83.66084
8/11/2023,2,3,3,2,294,29,107,37.13,99.34,0,3,0,101.17,4,13.27,2,58.32290311,4,11,32,3,70,66.15919
8/11/2023,2,4,3,3,418,213,153,216.99,88.09,15,2,1,84.32,3,12.74,5,37.33618039,4,11,32,3,176,174.12149
8/11/2023,2,5,3,1,490,403,139,419.17,28.4,10,4,0,24.35,4,13.55,5,42.16968972,4,11,32,3,344,327.41925
8/11/2023,2,6,2,3,275,44,102,41.64,51.33,5,3,0,53.12,2,8.38,2,44.65447373,4,11,32,3,48,37.010937
8/11/2023,2,7,2,1,161,50,163,48.33,12.45,0,3,0,10.69,3,3.99,2,48.24279937,4,11,32,3,44,29.68546
8/11/2023,2,8,2,2,384,188,89,202.43,42.75,0,3,0,45.9,3,6.51,5,31.85801651,4,11,32,3,175,174.49263
8/11/2023,2,9,2,1,120,58,51,50.29,76.38,10,2,0,79.9,1,6.11,2,32.60206372,4,11,32,3,37,32.021786
8/11/2023,2,10,2,2,343,290,193,305.18,89.93,15,1,0,92.83,3,9.49,5,33.90688456,4,11,32,3,269,257.50204
8/11/2023,2,11,2,2,488,209,196,200.67,36.34,20,3,1,33.84,3,8.96,5,49.8070764,4,11,32,3,187,184.43138
8/11/2023,2,12,2,2,119,59,135,69.81,28.9,0,4,0,33.0,3,8.91,2,56.50089137,4,11,32,3,49,34.623665
8/11/2023,2,13,2,4,376,124,147,119.04,69.95,15,4,0,67.69,2,7.49,2,68.78338511,4,11,32,3,88,77.46072
8/11/2023,2,14,1,4,302,255,89,253.45,73.6,15,4,1,69.73,4,4.75,5,53.91599915,4,11,32,3,249,245.10072
8/11/2023,2,15,1,2,253,67,124,79.99,30.24,0,3,0,30.55,4,6.46,2,37.8393145,4,11,32,3,76,68.43398
8/11/2023,2,16,1,1,281,97,129,93.39,66.25,10,4,0,62.06,3,8.0,2,45.54709159,4,11,32,3,75,65.00892
8/11/2023,2,17,1,1,258,96,144,115.45,94.22,0,4,0,97.12,1,7.88,2,41.23738039,4,11,32,3,66,61.162228
8/11/2023,2,18,1,4,367,134,82,141.91,40.06,0,3,1,38.71,3,6.64,5,60.88979077,4,11,32,3,154,143.92607
8/11/2023,2,19,1,3,327,77,66,79.46,83.82,20,4,1,83.87,4,2.89,5,59.16028672,4,11,32,3,147,154.2268
8/11/2023,2,20,1,3,212,17,89,13.44,98.83,15,2,1,103.42,2,3.07,2,34.63476238,4,11,32,3,28,29.030203
8/11/2023,3,1,3,1,270,207,184,212.97,34.73,10,2,0,34.69,4,10.26,5,44.98160475,4,11,32,3,212,205.10895
8/11/2023,3,2,3,2,273,211,82,203.22,57.28,5,2,1,56.85,1,10.94,5,36.23978081,4,11,32,3,216,210.88065
8/11/2023,3,3,3,4,62,12,199,28.77,21.12,10,1,0,20.53,2,15.0,2,30.82337977,4,11,32,3,72,66.48182
8/11/2023,3,4,3,3,323,266,151,283.94,45.36,5,4,0,49.63,4,10.93,5,37.33618039,4,11,32,3,240,231.29825
8/11/2023,3,5,3,1,334,116,70,121.64,84.1,10,2,0,85.46,3,11.99,5,42.16968972,4,11,32,3,166,164.91156
8/11/2023,3,6,2,4,486,48,183,52.94,91.74,15,4,0,87.97,3,5.16,2,41.68578594,4,11,32,3,47,39.55841
8/11/2023,3,7,2,3,370,188,54,204.58,97.81,10,4,0,98.06,4,7.16,5,50.56937754,4,11,32,3,177,168.68979
8/11/2023,3,8,2,4,107,97,180,95.72,30.05,15,3,1,33.39,2,7.75,2,54.30179408,4,11,32,3,76,70.41923
8/11/2023,3,9,2,3,56,44,144,36.61,28.65,5,3,1,24.91,3,3.32,2,62.33589392,4,11,32,3,30,22.677223
8/11/2023,3,10,2,4,452,397,67,411.81,86.3,20,3,1,84.98,1,5.82,5,57.36932106,4,11,32,3,351,341.57306
8/11/2023,3,11,2,2,355,53,130,51.06,67.57,10,4,1,67.13,4,5.63,2,49.8070764,4,11,32,3,54,48.836533
8/11/2023,3,12,2,1,69,45,173,38.49,34.86,0,2,1,37.47,3,4.7,2,40.35119926,4,11,32,3,45,34.600613
8/11/2023,3,13,2,3,276,207,153,200.18,81.16,20,1,1,77.75,2,4.4,5,61.00531293,4,11,32,3,196,171.21422
8/11/2023,3,14,1,3,464,53,102,60.77,83.38,5,2,0,79.43,2,2.7,2,66.8749694,4,11,32,3,57,48.342983
8/11/2023,3,15,1,1,95,1,126,-5.33,21.78,10,1,0,21.63,4,2.42,2,33.53970008,4,11,32,3,56,49.185448
8/11/2023,3,16,1,3,112,79,160,72.39,66.69,5,1,0,67.9,4,2.89,2,44.27013307,4,11,32,3,57,51.253353
8/11/2023,3,17,1,1,439,99,123,89.28,93.62,15,1,1,91.61,4,3.69,2,41.23738039,4,11,32,3,84,84.548615
8/11/2023,3,18,1,1,406,295,48,305.85,97.66,5,1,1,99.49,2,4.01,5,32.98202575,4,11,32,3,266,262.71603
8/11/2023,3,19,1,3,438,296,86,314.84,37.88,0,4,1,40.92,4,6.39,5,59.16028672,4,11,32,3,283,286.98047
8/11/2023,3,20,1,3,67,62,33,53.78,20.82,15,3,0,16.16,3,5.86,5,34.63476238,4,11,32,3,112,104.68855
8/11/2023,4,1,3,1,87,78,93,74.95,31.44,5,3,1,29.37,2,10.99,2,44.98160475,4,11,32,3,79,70.74116
8/11/2023,4,2,3,4,482,187,189,181.09,67.29,5,1,0,65.31,2,8.04,2,32.32334449,4,11,32,3,98,92.280754
8/11/2023,4,3,3,4,77,20,169,24.61,35.07,10,1,1,34.97,4,14.34,2,30.82337977,4,11,32,3,66,59.80114
8/11/2023,4,4,3,4,141,93,180,84.3,88.25,0,2,1,92.36,3,9.43,2,37.27299869,4,11,32,3,60,59.976616
8/11/2023,4,5,3,2,455,451,146,470.55,51.01,10,1,0,54.02,3,10.35,5,50.99025727,4,11,32,3,364,346.10098
8/11/2023,4,6,2,4,380,98,88,95.42,58.35,15,1,1,61.94,3,9.69,5,41.68578594,4,11,32,3,152,143.9007
8/11/2023,4,7,2,4,109,105,39,123.62,75.97,10,1,0,80.18,2,8.43,5,37.98695129,4,11,32,3,164,166.8475
8/11/2023,4,8,2,4,135,70,87,81.31,89.25,10,2,0,88.53,3,6.8,2,54.30179408,4,11,32,3,58,49.299637
8/11/2023,4,9,2,3,340,177,28,193.09,64.05,15,1,0,66.58,2,9.3,5,62.33589392,4,11,32,3,161,157.39658
8/11/2023,4,10,2,3,437,138,108,141.31,26.3,0,1,0,29.29,3,6.66,5,47.60609975,4,11,32,3,174,170.65642
8/11/2023,4,11,2,3,263,235,149,232.06,99.65,0,3,1,96.7,2,8.6,5,66.37281608,4,11,32,3,219,211.42442
8/11/2023,4,12,2,2,187,4,56,12.77,70.19,5,1,1,65.97,2,3.93,2,56.50089137,4,11,32,3,36,38.882427
8/11/2023,4,13,2,1,233,113,39,130.02,46.31,5,2,1,41.68,4,7.82,5,51.86841117,4,11,32,3,154,149.23396
8/11/2023,4,14,1,2,126,82,194,99.26,27.2,10,1,1,30.02,1,6.69,2,65.79309402,4,11,32,3,68,56.744316
8/11/2023,4,15,1,3,465,409,157,428.05,65.78,15,1,1,62.98,3,7.94,5,43.01321323,4,11,32,3,351,333.85782
8/11/2023,4,16,1,3,372,112,34,122.81,31.37,5,3,1,28.14,1,4.85,5,44.27013307,4,11,32,3,151,145.97758
8/11/2023,4,17,1,1,298,293,192,309.17,30.09,0,2,0,33.27,1,2.33,5,41.23738039,4,11,32,3,275,275.46274
8/11/2023,4,18,1,2,495,229,95,225.37,64.17,20,4,1,65.3,1,4.62,5,69.47547746,4,11,32,3,214,206.99368
8/11/2023,4,19,1,3,292,164,63,164.49,97.39,15,1,0,100.06,4,2.54,5,59.16028672,4,11,32,3,170,169.70937
8/11/2023,4,20,1,4,66,57,89,47.72,52.39,15,1,0,53.97,4,4.61,2,44.33862914,4,11,32,3,38,24.349316
8/11/2023,5,1,3,2,308,17,168,14.57,44.68,10,2,1,44.87,2,9.87,2,68.02857226,4,11,32,3,61,55.294025
8/11/2023,5,2,3,2,441,223,147,216.76,72.72,10,4,0,76.64,1,13.86,5,36.23978081,4,11,32,3,212,209.29881
8/11/2023,5,3,3,4,221,95,152,86.34,25.56,15,2,0,29.14,3,12.67,2,30.82337977,4,11,32,3,86,81.737946
8/11/2023,5,4,3,4,481,96,111,105.52,67.4,5,2,1,71.14,1,14.39,2,37.27299869,4,11,32,3,69,62.62187
8/11/2023,5,5,3,3,474,122,142,117.02,90.45,0,3,1,93.32,2,9.07,2,41.64916561,4,11,32,3,96,92.02371
8/11/2023,5,6,2,3,248,35,183,38.93,50.5,0,1,1,52.33,3,5.24,2,44.65447373,4,11,32,3,31,22.101082
8/11/2023,5,7,2,1,391,1,105,14.84,13.89,10,4,1,16.19,2,3.98,2,48.24279937,4,11,32,3,36,26.049786
8/11/2023,5,8,2,1,461,31,144,34.87,50.25,15,1,1,54.18,3,8.59,2,53.69658275,4,11,32,3,36,29.311892
8/11/2023,5,9,2,3,183,149,173,151.12,98.28,0,3,0,96.65,4,3.05,2,62.33589392,4,11,32,3,89,76.912346
8/11/2023,5,10,2,4,267,143,149,151.36,56.82,15,3,1,56.18,4,3.77,5,57.36932106,4,11,32,3,195,185.0621
8/11/2023,5,11,2,4,491,308,100,310.97,83.26,5,3,1,78.39,2,4.34,5,31.37554084,4,11,32,3,276,268.44257
8/11/2023,5,12,2,3,454,230,122,232.94,62.96,20,4,0,65.2,4,3.2,5,50.80272085,4,11,32,3,212,206.24992
8/11/2023,5,13,2,3,328,243,39,254.93,67.46,20,3,1,70.37,2,8.4,5,61.00531293,4,11,32,3,232,213.4959
8/11/2023,5,14,1,1,58,5,74,17.41,11.19,20,3,1,15.66,4,4.08,2,67.57995766,4,11,32,3,36,35.407005
8/11/2023,5,15,1,1,141,6,189,15.16,28.09,5,2,0,26.29,4,2.3,2,33.53970008,4,11,32,3,49,50.750546
8/11/2023,5,16,1,3,251,218,139,233.54,80.69,15,4,0,82.94,4,2.36,5,44.27013307,4,11,32,3,206,205.72047
8/11/2023,5,17,1,2,237,35,61,41.55,74.76,15,1,1,70.97,1,7.75,2,51.70784333,4,11,32,3,37,28.391148
8/11/2023,5,18,1,4,402,143,55,159.41,96.71,0,4,1,95.47,3,7.88,5,60.88979077,4,11,32,3,184,173.34972
8/11/2023,5,19,1,2,135,52,160,60.54,66.64,15,2,0,70.8,2,7.35,2,62.61845714,4,11,32,3,58,48.229656
8/11/2023,5,20,1,3,102,33,101,31.36,57.3,15,2,0,56.65,3,5.86,2,34.63476238,4,11,32,3,31,23.284992
8/12/2023,1,1,3,3,140,46,163,38.95,34.72,5,4,0,37.8,1,12.13,2,53.94633937,5,12,32,3,53,39.86942
