Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost
1/1/2022,2,9,2,2,113.0,9,84.0,14.78,81.29,5.0,3,1,82.06,4,8.42,2.0,67.95542149
1/1/2022,2,10,2,1,157.0,126,181.0,132.75,60.84,0.0,4,1,65.22,4,5.68,2.0,42.18455077
1/1/2022,2,11,2,4,67.0,13,33.0,7.44,34.62,0.0,4,1,33.98,3,5.55,2.0,31.37554084
1/1/2022,2,12,2,3,281.0,25,136.0,37.27,19.56,5.0,3,1,19.01,4,9.77,2.0,50.80272085
1/1/2022,2,13,2,3,389.0,283,177.0,299.7,57.78,20.0,2,0,58.5,1,6.92,5.0,61.00531293
1/1/2022,2,14,1,3,465.0,359,77.0,370.36,91.28,20.0,2,0,90.85,2,2.89,5.0,66.8749694
1/1/2022,2,15,1,2,197.0,129,94.0,148.55,59.9,15.0,1,1,55.23,4,2.66,5.0,37.8393145
1/1/2022,2,16,1,2,242.0,63,85.0,58.07,45.65,20.0,3,1,42.17,1,6.67,2.0,40.85396127
1/1/2022,2,17,1,4,398.0,373,92.0,390.89,11.71,20.0,2,1,10.0,4,5.82,5.0,35.636969
1/1/2022,2,18,1,1,234.0,160,140.0,177.41,58.84,5.0,2,0,54.39,2,6.75,5.0,32.98202575
1/1/2022,2,19,1,3,67.0,15,186.0,34.38,84.99,5.0,1,1,81.02,4,4.41,2.0,59.16028672
1/1/2022,2,20,1,4,221.0,101,38.0,115.0,87.1,0.0,3,1,91.56,1,2.79,5.0,44.33862914
1/1/2022,3,1,3,2,241.0,147,180.0,161.09,67.21,5.0,1,1,67.39,2,9.08,2.0,68.02857226
1/1/2022,3,2,3,4,115.0,4,169.0,11.11,28.2,10.0,1,1,25.63,1,14.52,2.0,32.32334449
1/1/2022,3,3,3,2,375.0,77,145.0,75.04,56.16,10.0,1,1,57.16,1,5.34,2.0,58.32290311
1/1/2022,3,4,3,2,153.0,31,145.0,42.99,89.53,20.0,3,1,93.6,4,14.11,2.0,38.49356443
1/1/2022,3,5,3,4,438.0,325,20.0,330.92,97.95,20.0,1,0,93.54,4,8.2,5.0,47.27780075
1/1/2022,3,6,2,1,456.0,163,22.0,159.17,76.37,5.0,3,1,71.38,2,8.71,5.0,54.47411579
1/1/2022,3,7,2,1,189.0,34,107.0,26.91,86.99,15.0,3,1,90.5,2,9.92,2.0,48.24279937
1/1/2022,3,8,2,1,223.0,47,107.0,45.48,66.53,15.0,2,1,70.46,1,4.09,2.0,53.69658275
1/1/2022,3,9,2,2,381.0,15,184.0,30.05,74.86,15.0,4,1,73.93,4,4.96,2.0,67.95542149
1/1/2022,3,10,2,2,166.0,126,124.0,141.34,97.09,5.0,3,1,95.8,2,4.03,5.0,33.90688456
1/1/2022,3,11,2,3,292.0,232,155.0,242.02,56.19,0.0,4,1,57.85,4,7.11,5.0,66.37281608
1/1/2022,3,12,2,1,311.0,175,55.0,176.75,90.38,20.0,2,0,89.52,2,7.42,5.0,40.35119926
1/1/2022,3,13,2,1,51.0,17,172.0,12.86,73.98,20.0,2,1,76.65,2,5.19,2.0,51.86841117
1/1/2022,3,14,1,2,398.0,369,26.0,387.88,79.03,5.0,3,0,82.51,1,4.58,5.0,65.79309402
1/1/2022,3,15,1,4,445.0,260,24.0,266.36,27.72,5.0,4,0,23.28,3,6.72,5.0,31.80909156
1/1/2022,3,16,1,2,487.0,347,93.0,349.36,98.18,15.0,3,0,99.58,4,5.26,5.0,40.85396127
1/1/2022,3,17,1,3,429.0,150,168.0,157.82,27.1,5.0,2,1,27.4,1,4.52,2.0,62.08787923
1/1/2022,3,18,1,4,204.0,70,170.0,83.01,97.08,15.0,4,1,94.88,4,3.68,2.0,60.88979077
1/1/2022,3,19,1,3,330.0,249,37.0,268.25,26.71,15.0,2,1,24.81,2,4.25,5.0,59.16028672
1/1/2022,3,20,1,1,431.0,370,99.0,387.57,95.85,20.0,2,1,95.7,1,7.42,5.0,60.85081387
1/1/2022,4,1,3,2,477.0,271,66.0,286.65,15.62,15.0,1,0,16.09,4,7.67,5.0,68.02857226
1/1/2022,4,2,3,1,462.0,180,183.0,176.06,41.13,5.0,1,0,45.05,3,14.89,2.0,36.24074562
1/1/2022,4,3,3,4,446.0,344,27.0,352.93,89.32,20.0,2,0,93.0,3,10.32,5.0,30.82337977
1/1/2022,4,4,3,4,437.0,0,160.0,-2.4,87.23,10.0,1,0,90.36,1,11.03,2.0,37.27299869
1/1/2022,4,5,3,1,397.0,200,172.0,196.57,81.72,0.0,4,1,85.22,1,6.79,5.0,42.16968972
1/1/2022,4,6,2,3,470.0,382,195.0,396.4,41.35,10.0,4,0,39.86,2,8.35,5.0,44.65447373
1/1/2022,4,7,2,4,264.0,190,139.0,197.45,67.26,20.0,2,0,64.78,2,4.6,5.0,37.98695129
1/1/2022,4,8,2,2,250.0,51,137.0,54.98,85.88,20.0,4,1,86.14,4,5.44,2.0,31.85801651
1/1/2022,4,9,2,1,63.0,40,73.0,51.78,59.23,10.0,3,1,61.1,2,9.37,2.0,32.60206372
1/1/2022,4,10,2,3,447.0,104,96.0,115.03,33.48,15.0,2,0,37.15,2,9.8,5.0,47.60609975
1/1/2022,4,11,2,4,205.0,46,27.0,46.65,54.84,0.0,1,1,57.76,1,5.51,5.0,31.37554084
1/1/2022,4,12,2,1,349.0,9,165.0,0.95,14.25,5.0,3,1,18.56,1,7.53,2.0,40.35119926
1/1/2022,4,13,2,3,191.0,56,65.0,54.47,61.81,0.0,1,0,63.92,3,6.75,2.0,61.00531293
1/1/2022,4,14,1,4,406.0,63,139.0,69.73,66.94,10.0,4,1,68.47,4,4.44,2.0,53.91599915
1/1/2022,4,15,1,2,228.0,181,127.0,171.96,60.54,5.0,2,0,65.27,3,7.18,5.0,37.8393145
1/1/2022,4,16,1,2,263.0,94,24.0,98.05,94.26,15.0,3,0,96.74,2,3.66,5.0,40.85396127
1/1/2022,4,17,1,2,203.0,46,75.0,55.12,25.55,0.0,3,0,28.07,4,5.75,2.0,51.70784333
1/1/2022,4,18,1,4,143.0,8,27.0,27.3,16.73,5.0,2,1,18.79,1,6.34,5.0,60.88979077
1/1/2022,4,19,1,4,359.0,172,125.0,181.25,71.2,15.0,3,1,73.85,1,2.53,5.0,58.27429375
1/1/2022,4,20,1,4,211.0,68,37.0,86.27,11.5,20.0,4,0,9.26,4,3.67,5.0,44.33862914
1/1/2022,5,1,3,4,111.0,77,60.0,83.47,70.33,10.0,2,0,70.29,4,11.03,5.0,59.27975767
1/1/2022,5,2,3,4,415.0,298,107.0,292.96,57.15,5.0,4,1,60.71,3,8.85,5.0,32.32334449
1/1/2022,5,3,3,1,384.0,64,26.0,76.02,36.17,5.0,1,0,40.93,1,12.09,5.0,54.04460047
1/1/2022,5,4,3,4,436.0,300,174.0,292.04,50.77,15.0,4,1,54.7,1,11.94,5.0,37.27299869
1/1/2022,5,5,3,4,180.0,21,47.0,38.63,92.86,15.0,3,1,96.3,4,14.11,2.0,47.27780075
1/1/2022,5,6,2,1,185.0,176,163.0,174.06,60.76,20.0,2,0,61.15,2,9.57,5.0,54.47411579
1/1/2022,5,7,2,2,292.0,131,140.0,122.6,46.47,15.0,4,0,50.84,2,3.43,2.0,61.40703846
1/1/2022,5,8,2,4,478.0,317,197.0,328.64,34.08,5.0,4,1,30.44,4,9.24,5.0,54.30179408
1/1/2022,5,9,2,4,182.0,97,27.0,92.62,87.81,5.0,4,0,85.45,1,7.44,5.0,68.62528132
1/1/2022,5,10,2,3,87.0,8,141.0,14.38,37.04,10.0,3,1,36.87,2,8.63,2.0,47.60609975
1/1/2022,5,11,2,4,427.0,104,128.0,94.65,54.12,10.0,3,1,53.03,2,6.58,2.0,31.37554084
1/1/2022,5,12,2,4,245.0,87,188.0,90.59,67.64,15.0,1,0,63.53,2,9.81,2.0,42.46844304
1/1/2022,5,13,2,2,317.0,238,95.0,256.57,82.18,5.0,2,0,87.09,2,6.38,5.0,37.39417822
1/1/2022,5,14,1,2,325.0,171,43.0,188.55,42.62,20.0,2,1,42.01,3,4.89,5.0,65.79309402
1/1/2022,5,15,1,4,411.0,250,119.0,260.79,11.54,10.0,2,0,11.27,1,3.88,5.0,31.80909156
1/1/2022,5,16,1,2,71.0,11,32.0,1.85,16.3,5.0,1,0,17.98,4,4.81,2.0,40.85396127
1/1/2022,5,17,1,3,388.0,371,98.0,390.04,98.31,15.0,1,1,102.42,1,3.33,5.0,62.08787923
1/1/2022,5,18,1,4,161.0,107,66.0,103.97,48.96,10.0,4,1,50.03,1,5.26,5.0,60.88979077
1/1/2022,5,19,1,2,235.0,106,124.0,119.33,88.22,5.0,3,0,91.16,1,6.76,2.0,62.61845714
1/1/2022,5,20,1,2,108.0,101,52.0,105.92,11.04,10.0,4,1,9.14,3,3.91,5.0,32.96178607
1/2/2022,1,1,3,4,116.0,81,104.0,92.94,27.95,10.0,2,0,30.89,1,8.64,2.0,59.27975767
1/2/2022,1,2,3,4,416.0,163,79.0,171.6,19.78,15.0,2,0,18.76,1,14.92,5.0,32.32334449
1/2/2022,1,3,3,2,488.0,464,163.0,463.12,70.99,10.0,4,0,72.93,2,5.17,5.0,58.32290311
1/2/2022,1,4,3,3,248.0,116,107.0,133.92,49.56,5.0,4,0,50.46,2,13.59,5.0,37.33618039
1/2/2022,1,5,3,3,238.0,200,40.0,204.3,23.76,15.0,1,1,19.19,2,8.98,5.0,41.64916561
1/2/2022,1,6,2,3,471.0,58,32.0,51.57,47.56,0.0,4,1,46.82,2,7.91,5.0,44.65447373
1/2/2022,1,7,2,1,178.0,56,149.0,60.3,17.1,5.0,4,1,17.0,3,7.7,2.0,48.24279937
1/2/2022,1,8,2,3,92.0,74,121.0,67.04,58.89,5.0,2,0,61.56,3,9.52,2.0,36.82096495
1/2/2022,1,9,2,2,99.0,54,182.0,70.6,99.76,20.0,2,0,95.61,1,7.75,2.0,67.95542149
1/2/2022,1,10,2,1,171.0,39,163.0,47.8,11.44,5.0,1,0,12.71,2,9.0,2.0,42.18455077
1/2/2022,1,11,2,3,215.0,12,173.0,16.92,53.84,0.0,2,1,53.79,1,5.42,2.0,66.37281608
1/2/2022,1,12,2,3,281.0,56,187.0,70.71,57.84,5.0,4,1,60.99,2,3.28,2.0,50.80272085
1/2/2022,1,13,2,1,455.0,31,124.0,44.46,35.51,15.0,2,1,31.06,3,8.34,2.0,51.86841117
1/2/2022,1,14,1,4,84.0,25,20.0,23.36,31.41,0.0,2,1,28.6,1,3.32,5.0,53.91599915
1/2/2022,1,15,1,3,246.0,198,67.0,203.23,28.06,20.0,2,1,30.29,4,4.92,5.0,43.01321323
1/2/2022,1,16,1,4,399.0,77,147.0,67.55,35.67,15.0,4,0,38.02,2,6.13,2.0,63.14950037
1/2/2022,1,17,1,4,242.0,165,105.0,181.86,28.18,5.0,2,0,27.5,3,5.36,5.0,35.636969
1/2/2022,1,18,1,1,478.0,42,168.0,55.16,74.42,5.0,4,0,69.67,2,6.17,2.0,32.98202575
1/2/2022,1,19,1,2,156.0,8,67.0,24.41,91.95,5.0,2,1,87.43,1,6.79,2.0,62.61845714
1/2/2022,1,20,1,1,221.0,174,168.0,187.49,97.88,0.0,4,0,99.5,3,3.04,5.0,60.85081387
1/2/2022,2,1,3,4,402.0,343,141.0,339.04,66.57,20.0,3,1,63.92,2,11.34,5.0,59.27975767
1/2/2022,2,2,3,4,132.0,71,60.0,82.44,90.36,5.0,3,0,86.73,4,8.06,5.0,32.32334449
1/2/2022,2,3,3,4,218.0,157,31.0,153.42,92.24,5.0,4,1,89.57,3,13.93,5.0,30.82337977
1/2/2022,2,4,3,2,131.0,88,109.0,100.61,68.71,0.0,4,0,69.34,1,12.18,2.0,38.49356443
1/2/2022,2,5,3,1,93.0,64,128.0,57.53,87.22,5.0,2,1,90.59,1,13.72,2.0,42.16968972
1/2/2022,2,6,2,3,344.0,273,154.0,273.1,79.38,0.0,3,0,77.28,3,9.18,5.0,44.65447373
1/2/2022,2,7,2,1,340.0,247,148.0,264.18,17.41,15.0,4,0,13.57,2,5.58,5.0,48.24279937
1/2/2022,2,8,2,1,241.0,42,187.0,46.32,14.8,15.0,1,1,13.94,1,3.59,2.0,53.69658275
1/2/2022,2,9,2,1,296.0,197,157.0,195.61,30.5,0.0,1,0,28.86,1,5.87,5.0,32.60206372
1/2/2022,2,10,2,4,472.0,374,65.0,387.41,27.84,15.0,2,1,32.0,1,9.23,5.0,57.36932106
1/2/2022,2,11,2,3,308.0,154,22.0,169.13,88.62,0.0,2,0,86.3,4,8.31,5.0,66.37281608
1/2/2022,2,12,2,1,434.0,236,30.0,239.09,82.35,20.0,3,0,83.13,3,3.5,5.0,40.35119926
1/2/2022,2,13,2,1,287.0,278,92.0,279.91,92.57,10.0,1,1,97.09,2,7.42,5.0,51.86841117
1/2/2022,2,14,1,4,190.0,27,134.0,31.53,94.38,5.0,3,0,89.47,3,5.59,2.0,53.91599915
1/2/2022,2,15,1,1,353.0,106,191.0,110.49,70.59,0.0,2,1,75.27,4,7.85,2.0,33.53970008
1/2/2022,2,16,1,4,210.0,154,70.0,166.83,63.13,10.0,1,0,67.23,3,3.6,5.0,63.14950037
1/2/2022,2,17,1,4,193.0,176,38.0,174.49,46.04,5.0,3,1,41.4,3,2.21,5.0,35.636969
1/2/2022,2,18,1,3,124.0,124,46.0,116.05,21.07,10.0,1,0,21.71,3,6.2,5.0,37.94862726
1/2/2022,2,19,1,3,492.0,479,132.0,469.74,79.11,0.0,2,0,80.06,4,4.39,5.0,59.16028672
1/2/2022,2,20,1,2,222.0,78,42.0,76.55,64.99,0.0,1,1,65.4,2,5.97,5.0,32.96178607
1/2/2022,3,1,3,4,277.0,114,40.0,132.41,73.48,10.0,2,0,72.55,3,7.27,5.0,59.27975767
1/2/2022,3,2,3,3,175.0,2,140.0,-3.4,87.5,0.0,3,0,91.2,3,7.76,2.0,64.64704583
1/2/2022,3,3,3,3,157.0,7,187.0,22.8,88.68,20.0,2,1,87.38,3,8.29,2.0,68.79639409
1/2/2022,3,4,3,4,120.0,54,154.0,49.64,82.36,20.0,4,0,85.85,3,12.65,2.0,37.27299869
1/2/2022,3,5,3,3,375.0,282,61.0,297.42,38.56,5.0,2,0,36.57,4,13.02,5.0,41.64916561
1/2/2022,3,6,2,3,302.0,93,33.0,106.58,97.74,0.0,2,0,97.69,4,5.97,5.0,44.65447373
1/2/2022,3,7,2,4,375.0,85,40.0,85.31,37.68,15.0,2,0,36.72,3,7.41,5.0,37.98695129
1/2/2022,3,8,2,2,248.0,136,50.0,130.52,36.03,5.0,3,0,37.49,1,9.63,5.0,31.85801651
1/2/2022,3,9,2,4,219.0,140,196.0,139.46,88.97,0.0,4,1,91.53,1,3.62,2.0,68.62528132
1/2/2022,3,10,2,4,146.0,79,155.0,94.23,16.48,10.0,2,1,21.42,1,3.58,2.0,57.36932106
1/2/2022,3,11,2,2,218.0,106,111.0,117.65,58.37,10.0,2,1,58.1,3,8.08,5.0,49.8070764
1/2/2022,3,12,2,4,260.0,1,142.0,1.99,27.86,5.0,4,1,31.78,4,3.21,2.0,42.46844304
1/2/2022,3,13,2,4,414.0,203,53.0,206.35,39.14,5.0,3,1,35.3,3,3.23,5.0,68.78338511
1/2/2022,3,14,1,1,420.0,368,71.0,384.47,66.51,0.0,2,0,70.84,1,7.63,5.0,67.57995766
1/2/2022,3,15,1,3,435.0,286,159.0,283.25,89.65,20.0,4,0,84.99,4,2.89,5.0,43.01321323
1/2/2022,3,16,1,2,230.0,69,173.0,70.77,86.7,20.0,3,0,91.05,1,7.24,2.0,40.85396127
1/2/2022,3,17,1,2,456.0,52,78.0,65.67,29.69,20.0,4,0,25.27,2,7.01,2.0,51.70784333
1/2/2022,3,18,1,3,319.0,109,83.0,126.67,86.93,10.0,3,1,82.59,4,5.97,5.0,37.94862726
1/2/2022,3,19,1,1,59.0,50,135.0,44.37,59.33,10.0,2,0,54.98,1,7.45,2.0,30.22088468
1/2/2022,3,20,1,3,155.0,0,92.0,9.42,57.07,10.0,3,1,53.34,2,4.49,2.0,34.63476238
1/2/2022,4,1,3,1,144.0,22,45.0,39.12,74.16,15.0,3,0,69.74,3,9.65,2.0,44.98160475
1/2/2022,4,2,3,3,283.0,45,156.0,46.65,59.38,0.0,1,1,62.4,1,10.39,2.0,64.64704583
1/2/2022,4,3,3,3,347.0,89,122.0,87.77,48.18,0.0,1,1,49.64,1,6.38,2.0,68.79639409
1/2/2022,4,4,3,3,410.0,209,128.0,224.66,94.75,20.0,4,0,90.1,3,7.44,5.0,37.33618039
1/2/2022,4,5,3,4,99.0,4,76.0,14.91,60.89,5.0,1,0,59.42,3,8.65,2.0,47.27780075
1/2/2022,4,6,2,3,97.0,47,138.0,52.02,14.71,5.0,2,0,16.85,3,9.07,2.0,44.65447373
1/2/2022,4,7,2,4,339.0,115,95.0,124.22,33.09,10.0,3,0,28.55,1,3.41,5.0,37.98695129
1/2/2022,4,8,2,2,144.0,27,119.0,21.73,98.75,15.0,4,0,102.7,2,7.08,2.0,31.85801651
1/2/2022,4,9,2,2,110.0,90,28.0,103.6,12.4,20.0,4,0,8.56,3,6.52,5.0,67.95542149
1/2/2022,4,10,2,2,348.0,206,67.0,214.99,92.01,15.0,4,1,87.81,3,3.69,5.0,33.90688456
1/2/2022,4,11,2,3,458.0,328,144.0,339.54,92.12,20.0,1,1,87.37,1,3.25,5.0,66.37281608
1/2/2022,4,12,2,2,403.0,155,24.0,145.99,37.39,20.0,1,0,38.71,1,9.21,5.0,56.50089137
1/2/2022,4,13,2,4,198.0,184,161.0,191.55,85.35,10.0,3,1,80.79,1,8.98,5.0,68.78338511
1/2/2022,4,14,1,3,472.0,16,166.0,28.75,82.64,0.0,2,0,78.35,3,5.74,2.0,66.8749694
1/2/2022,4,15,1,1,178.0,90,79.0,98.56,92.19,10.0,4,1,97.07,2,4.59,5.0,33.53970008
1/2/2022,4,16,1,4,215.0,178,111.0,180.76,61.41,0.0,1,0,61.32,1,6.87,5.0,63.14950037
1/2/2022,4,17,1,2,477.0,256,150.0,254.89,96.47,20.0,2,0,93.35,1,2.6,5.0,51.70784333
1/2/2022,4,18,1,2,198.0,27,62.0,25.51,89.33,0.0,1,0,89.63,1,7.26,2.0,69.47547746
1/2/2022,4,19,1,1,110.0,67,83.0,79.41,59.49,20.0,3,1,57.55,1,3.67,2.0,30.22088468
1/2/2022,4,20,1,1,254.0,84,112.0,77.15,73.05,15.0,1,1,74.55,3,3.45,2.0,60.85081387
1/2/2022,5,1,3,3,223.0,67,53.0,74.8,67.49,5.0,1,0,65.24,4,12.07,5.0,53.94633937
1/2/2022,5,2,3,4,100.0,15,114.0,28.97,66.05,10.0,1,1,65.16,3,11.51,2.0,32.32334449
1/2/2022,5,3,3,4,397.0,333,35.0,336.02,80.88,20.0,3,1,84.97,4,14.65,5.0,30.82337977
1/2/2022,5,4,3,1,442.0,56,38.0,54.08,60.5,10.0,2,1,64.88,1,5.57,5.0,63.29770563
1/2/2022,5,5,3,4,411.0,165,194.0,172.41,71.72,20.0,3,0,75.17,3,9.11,2.0,47.27780075
1/2/2022,5,6,2,1,76.0,54,175.0,49.32,69.21,15.0,3,1,71.17,2,3.33,2.0,54.47411579
1/2/2022,5,7,2,3,257.0,93,148.0,84.69,70.69,20.0,4,0,71.37,4,4.75,2.0,50.56937754
1/2/2022,5,8,2,3,353.0,250,57.0,254.75,63.54,15.0,2,0,61.05,2,5.22,5.0,36.82096495
1/2/2022,5,9,2,4,119.0,90,76.0,99.63,78.08,10.0,1,0,73.69,4,3.28,5.0,68.62528132
1/2/2022,5,10,2,4,403.0,83,77.0,84.32,43.09,10.0,1,1,47.02,1,4.18,5.0,57.36932106
1/2/2022,5,11,2,3,60.0,16,149.0,23.98,25.67,5.0,1,1,27.78,4,3.37,2.0,66.37281608
1/2/2022,5,12,2,4,182.0,87,121.0,83.13,38.59,20.0,3,0,33.87,1,7.39,2.0,42.46844304
1/2/2022,5,13,2,3,455.0,241,136.0,235.03,57.99,5.0,1,0,55.4,1,5.49,5.0,61.00531293
1/2/2022,5,14,1,2,437.0,286,116.0,282.52,14.65,20.0,4,1,13.12,4,3.09,5.0,65.79309402
1/2/2022,5,15,1,4,289.0,60,83.0,52.77,63.26,0.0,3,1,61.02,3,4.9,2.0,31.80909156
1/2/2022,5,16,1,3,487.0,437,106.0,432.86,43.64,15.0,2,1,39.13,3,6.57,5.0,44.27013307
1/2/2022,5,17,1,1,418.0,377,76.0,383.26,84.85,20.0,1,1,84.29,2,2.73,5.0,41.23738039
1/2/2022,5,18,1,4,89.0,83,113.0,78.67,47.05,15.0,3,1,47.89,1,2.69,2.0,60.88979077
1/2/2022,5,19,1,4,421.0,203,152.0,220.23,76.83,20.0,4,0,75.86,1,2.3,5.0,58.27429375
1/2/2022,5,20,1,2,211.0,183,189.0,190.11,93.95,10.0,1,1,98.89,1,5.85,5.0,32.96178607
1/3/2022,1,1,3,4,154.0,5,189.0,5.36,62.7,20.0,3,0,58.22,4,10.27,2.0,59.27975767
1/3/2022,1,2,3,3,282.0,199,70.0,193.26,54.02,0.0,2,0,52.91,1,11.99,5.0,64.64704583
1/3/2022,1,3,3,2,183.0,176,124.0,168.28,26.03,10.0,3,0,29.38,4,9.97,5.0,58.32290311
1/3/2022,1,4,3,3,239.0,214,51.0,228.51,10.19,0.0,2,1,7.82,4,6.88,5.0,37.33618039
1/3/2022,1,5,3,4,368.0,165,56.0,170.76,95.54,0.0,1,0,91.29,1,6.99,5.0,47.27780075
1/3/2022,1,6,2,2,57.0,9,40.0,13.6,57.65,5.0,1,0,58.01,2,4.9,2.0,35.57975443
1/3/2022,1,7,2,2,460.0,140,70.0,143.7,87.85,20.0,1,0,91.9,4,5.55,5.0,61.40703846
1/3/2022,1,8,2,4,214.0,177,150.0,178.0,53.94,5.0,4,0,51.47,3,6.18,5.0,54.30179408
1/3/2022,1,9,2,2,407.0,217,55.0,217.69,61.42,20.0,1,0,65.86,4,8.07,5.0,67.95542149
1/3/2022,1,10,2,4,51.0,47,155.0,38.08,99.14,10.0,4,0,102.66,3,3.74,2.0,57.36932106
1/3/2022,1,11,2,3,252.0,3,98.0,5.18,60.52,0.0,2,0,62.72,3,5.63,2.0,66.37281608
1/3/2022,1,12,2,3,72.0,2,62.0,9.81,86.93,15.0,2,0,83.11,2,9.65,2.0,50.80272085
1/3/2022,1,13,2,2,194.0,18,120.0,20.5,83.11,10.0,4,1,85.16,2,8.62,2.0,37.39417822
1/3/2022,1,14,1,2,302.0,242,145.0,255.54,32.28,10.0,3,1,30.1,4,6.61,5.0,65.79309402
1/3/2022,1,15,1,1,330.0,228,157.0,246.91,52.17,10.0,1,1,52.43,2,5.64,5.0,33.53970008
1/3/2022,1,16,1,3,148.0,31,160.0,35.11,93.61,15.0,4,1,94.15,1,3.82,2.0,44.27013307
1/3/2022,1,17,1,1,315.0,16,197.0,33.51,98.25,5.0,1,0,100.34,1,5.02,2.0,41.23738039
1/3/2022,1,18,1,3,97.0,20,147.0,37.26,78.53,5.0,3,0,75.48,3,5.88,2.0,37.94862726
1/3/2022,1,19,1,2,240.0,193,171.0,203.45,56.91,0.0,1,1,54.2,1,2.33,5.0,62.61845714
1/3/2022,1,20,1,1,178.0,118,162.0,110.02,35.32,20.0,2,1,37.56,2,5.96,2.0,60.85081387
1/3/2022,2,1,3,1,405.0,96,171.0,100.82,48.08,0.0,3,1,49.4,3,10.73,2.0,44.98160475
1/3/2022,2,2,3,1,200.0,48,47.0,55.45,46.95,15.0,4,1,43.48,2,11.69,5.0,36.24074562
1/3/2022,2,3,3,4,327.0,130,166.0,127.03,94.45,20.0,2,1,99.26,4,7.99,2.0,30.82337977
1/3/2022,2,4,3,1,409.0,11,48.0,8.25,27.28,10.0,4,1,28.61,3,6.1,2.0,63.29770563
1/3/2022,2,5,3,4,327.0,313,194.0,326.56,29.74,0.0,4,1,31.67,4,7.76,5.0,47.27780075
