ds,Store_ID,Product_ID,Category_Code,Region_Code,y,Price,Discount,Weather_Code,Promotion,Competitor_Pricing,Seasonality_Code
2022-01-01,2,10,1,0,126,60.84,0,3,1,65.22,3
2022-01-01,2,11,1,3,13,34.62,0,3,1,33.98,2
2022-01-01,2,12,1,2,25,19.56,5,1,1,19.01,3
2022-01-01,2,13,1,2,283,57.78,20,2,0,58.5,0
2022-01-01,2,14,2,2,359,91.28,20,2,0,90.85,1
2022-01-01,2,15,2,1,129,59.9,15,0,1,55.23,3
2022-01-01,2,16,2,1,63,45.65,20,1,1,42.17,0
2022-01-01,2,17,2,3,373,11.71,20,2,1,10.0,3
2022-01-01,2,18,2,0,160,58.84,5,2,0,54.39,1
2022-01-01,2,19,2,2,15,84.99,5,0,1,81.02,3
2022-01-01,2,20,2,3,101,87.1,0,1,1,91.56,0
2022-01-01,3,1,0,1,147,67.21,5,0,1,67.39,1
2022-01-01,3,2,0,3,4,28.2,10,0,1,25.63,0
2022-01-01,3,3,0,1,77,56.16,10,0,1,57.16,0
2022-01-01,3,4,0,1,31,89.53,20,1,1,93.6,3
2022-01-01,3,5,0,3,325,97.95,20,0,0,93.54,3
2022-01-01,3,6,1,0,163,76.37,5,1,1,71.38,1
2022-01-01,3,7,1,0,34,86.99,15,1,1,90.5,1
2022-01-01,3,8,1,0,47,66.53,15,2,1,70.46,0
2022-01-01,3,9,1,1,15,74.86,15,3,1,73.93,3
2022-01-01,3,10,1,1,126,97.09,5,1,1,95.8,1
2022-01-01,3,11,1,2,232,56.19,0,3,1,57.85,3
2022-01-01,3,12,1,0,175,90.38,20,2,0,89.52,1
2022-01-01,3,13,1,0,17,73.98,20,2,1,76.65,1
2022-01-01,3,14,2,1,369,79.03,5,1,0,82.51,0
2022-01-01,3,15,2,3,260,27.72,5,3,0,23.28,2
2022-01-01,3,16,2,1,347,98.18,15,1,0,99.58,3
2022-01-01,3,17,2,2,150,27.1,5,2,1,27.4,0
2022-01-01,3,18,2,3,70,97.08,15,3,1,94.88,3
2022-01-01,3,19,2,2,249,26.71,15,2,1,24.81,1
2022-01-01,3,20,2,0,370,95.85,20,2,1,95.7,0
2022-01-01,4,1,0,1,271,15.62,15,0,0,16.09,3
2022-01-01,4,2,0,0,180,41.13,5,0,0,45.05,2
2022-01-01,4,3,0,3,344,89.32,20,2,0,93.0,2
2022-01-01,4,4,0,3,0,87.23,10,0,0,90.36,0
2022-01-01,4,5,0,0,200,81.72,0,3,1,85.22,0
2022-01-01,4,6,1,2,382,41.35,10,3,0,39.86,1
2022-01-01,4,7,1,3,190,67.26,20,2,0,64.78,1
2022-01-01,4,8,1,1,51,85.88,20,3,1,86.14,3
2022-01-01,4,9,1,0,40,59.23,10,1,1,61.1,1
2022-01-01,4,10,1,2,104,33.48,15,2,0,37.15,1
2022-01-01,4,11,1,3,46,54.84,0,0,1,57.76,0
2022-01-01,4,12,1,0,9,14.25,5,1,1,18.56,0
2022-01-01,4,13,1,2,56,61.81,0,0,0,63.92,2
2022-01-01,4,14,2,3,63,66.94,10,3,1,68.47,3
2022-01-01,4,15,2,1,181,60.54,5,2,0,65.27,2
2022-01-01,4,16,2,1,94,94.26,15,1,0,96.74,1
2022-01-01,4,17,2,1,46,25.55,0,1,0,28.07,3
2022-01-01,4,18,2,3,8,16.73,5,2,1,18.79,0
2022-01-01,4,19,2,3,172,71.2,15,1,1,73.85,0
2022-01-01,4,20,2,3,68,11.5,20,3,0,9.26,3
2022-01-01,5,1,0,3,77,70.33,10,2,0,70.29,3
2022-01-01,5,2,0,3,298,57.15,5,3,1,60.71,2
2022-01-01,5,3,0,0,64,36.17,5,0,0,40.93,0
2022-01-01,5,4,0,3,300,50.77,15,3,1,54.7,0
2022-01-01,5,5,0,3,21,92.86,15,1,1,96.3,3
2022-01-01,5,6,1,0,176,60.76,20,2,0,61.15,1
2022-01-01,5,7,1,1,131,46.47,15,3,0,50.84,1
2022-01-01,5,8,1,3,317,34.08,5,3,1,30.44,3
2022-01-01,5,9,1,3,97,87.81,5,3,0,85.45,0
2022-01-01,5,10,1,2,8,37.04,10,1,1,36.87,1
2022-01-01,5,11,1,3,104,54.12,10,1,1,53.03,1
2022-01-01,5,12,1,3,87,67.64,15,0,0,63.53,1
2022-01-01,5,13,1,1,238,82.18,5,2,0,87.09,1
2022-01-01,5,14,2,1,171,42.62,20,2,1,42.01,2
2022-01-01,5,15,2,3,250,11.54,10,2,0,11.27,0
2022-01-01,5,16,2,1,11,16.3,5,0,0,17.98,3
2022-01-01,5,17,2,2,371,98.31,15,0,1,102.42,0
2022-01-01,5,18,2,3,107,48.96,10,3,1,50.03,0
2022-01-01,5,19,2,1,106,88.22,5,1,0,91.16,0
2022-01-01,5,20,2,1,101,11.04,10,3,1,9.14,2
2022-01-02,1,1,0,3,81,27.95,10,2,0,30.89,0
2022-01-02,1,2,0,3,163,19.78,15,2,0,18.76,0
2022-01-02,1,3,0,1,464,70.99,10,3,0,72.93,1
2022-01-02,1,4,0,2,116,49.56,5,3,0,50.46,1
2022-01-02,1,5,0,2,200,23.76,15,0,1,19.19,1
2022-01-02,1,6,1,2,58,47.56,0,3,1,46.82,1
2022-01-02,1,7,1,0,56,17.1,5,3,1,17.0,2
2022-01-02,1,8,1,2,74,58.89,5,2,0,61.56,2
2022-01-02,1,9,1,1,54,99.76,20,2,0,95.61,0
2022-01-02,1,10,1,0,39,11.44,5,0,0,12.71,1
2022-01-02,1,11,1,2,12,53.84,0,2,1,53.79,0
2022-01-02,1,12,1,2,56,57.84,5,3,1,60.99,1
2022-01-02,1,13,1,0,31,35.51,15,2,1,31.06,2
2022-01-02,1,14,2,3,25,31.41,0,2,1,28.6,0
2022-01-02,1,15,2,2,198,28.06,20,2,1,30.29,3
2022-01-02,1,16,2,3,77,35.67,15,3,0,38.02,1
2022-01-02,1,17,2,3,165,28.18,5,2,0,27.5,2
2022-01-02,1,18,2,0,42,74.42,5,3,0,69.67,1
2022-01-02,1,19,2,1,8,91.95,5,2,1,87.43,0
2022-01-02,1,20,2,0,174,97.88,0,3,0,99.5,2
2022-01-02,2,1,0,3,343,66.57,20,1,1,63.92,1
2022-01-02,2,2,0,3,71,90.36,5,1,0,86.73,3
2022-01-02,2,3,0,3,157,92.24,5,3,1,89.57,2
2022-01-02,2,4,0,1,88,68.71,0,3,0,69.34,0
2022-01-02,2,5,0,0,64,87.22,5,2,1,90.59,0
2022-01-02,2,6,1,2,273,79.38,0,1,0,77.28,2
2022-01-02,2,7,1,0,247,17.41,15,3,0,13.57,1
2022-01-02,2,8,1,0,42,14.8,15,0,1,13.94,0
2022-01-02,2,9,1,0,197,30.5,0,0,0,28.86,0
2022-01-02,2,10,1,3,374,27.84,15,2,1,32.0,0
2022-01-02,2,11,1,2,154,88.62,0,2,0,86.3,3
2022-01-02,2,12,1,0,236,82.35,20,1,0,83.13,2
2022-01-02,2,13,1,0,278,92.57,10,0,1,97.09,1
2022-01-02,2,14,2,3,27,94.38,5,1,0,89.47,2
2022-01-02,2,15,2,0,106,70.59,0,2,1,75.27,3
2022-01-02,2,16,2,3,154,63.13,10,0,0,67.23,2
2022-01-02,2,17,2,3,176,46.04,5,1,1,41.4,2
2022-01-02,2,18,2,2,124,21.07,10,0,0,21.71,2
2022-01-02,2,19,2,2,479,79.11,0,2,0,80.06,3
2022-01-02,2,20,2,1,78,64.99,0,0,1,65.4,1
2022-01-02,3,1,0,3,114,73.48,10,2,0,72.55,2
2022-01-02,3,2,0,2,2,87.5,0,1,0,91.2,2
2022-01-02,3,3,0,2,7,88.68,20,2,1,87.38,2
2022-01-02,3,4,0,3,54,82.36,20,3,0,85.85,2
2022-01-02,3,5,0,2,282,38.56,5,2,0,36.57,3
2022-01-02,3,6,1,2,93,97.74,0,2,0,97.69,3
2022-01-02,3,7,1,3,85,37.68,15,2,0,36.72,2
2022-01-02,3,8,1,1,136,36.03,5,1,0,37.49,0
2022-01-02,3,9,1,3,140,88.97,0,3,1,91.53,0
2022-01-02,3,10,1,3,79,16.48,10,2,1,21.42,0
2022-01-02,3,11,1,1,106,58.37,10,2,1,58.1,2
2022-01-02,3,12,1,3,1,27.86,5,3,1,31.78,3
2022-01-02,3,13,1,3,203,39.14,5,1,1,35.3,2
2022-01-02,3,14,2,0,368,66.51,0,2,0,70.84,0
2022-01-02,3,15,2,2,286,89.65,20,3,0,84.99,3
2022-01-02,3,16,2,1,69,86.7,20,1,0,91.05,0
2022-01-02,3,17,2,1,52,29.69,20,3,0,25.27,1
2022-01-02,3,18,2,2,109,86.93,10,1,1,82.59,3
2022-01-02,3,19,2,0,50,59.33,10,2,0,54.98,0
2022-01-02,3,20,2,2,0,57.07,10,1,1,53.34,1
2022-01-02,4,1,0,0,22,74.16,15,1,0,69.74,2
2022-01-02,4,2,0,2,45,59.38,0,0,1,62.4,0
2022-01-02,4,3,0,2,89,48.18,0,0,1,49.64,0
2022-01-02,4,4,0,2,209,94.75,20,3,0,90.1,2
2022-01-02,4,5,0,3,4,60.89,5,0,0,59.42,2
2022-01-02,4,6,1,2,47,14.71,5,2,0,16.85,2
2022-01-02,4,7,1,3,115,33.09,10,1,0,28.55,0
2022-01-02,4,8,1,1,27,98.75,15,3,0,102.7,1
2022-01-02,4,9,1,1,90,12.4,20,3,0,8.56,2
2022-01-02,4,10,1,1,206,92.01,15,3,1,87.81,2
2022-01-02,4,11,1,2,328,92.12,20,0,1,87.37,0
2022-01-02,4,12,1,1,155,37.39,20,0,0,38.71,0
2022-01-02,4,13,1,3,184,85.35,10,1,1,80.79,0
2022-01-02,4,14,2,2,16,82.64,0,2,0,78.35,2
2022-01-02,4,15,2,0,90,92.19,10,3,1,97.07,1
2022-01-02,4,16,2,3,178,61.41,0,0,0,61.32,0
2022-01-02,4,17,2,1,256,96.47,20,2,0,93.35,0
2022-01-02,4,18,2,1,27,89.33,0,0,0,89.63,0
2022-01-02,4,19,2,0,67,59.49,20,1,1,57.55,0
2022-01-02,4,20,2,0,84,73.05,15,0,1,74.55,2
2022-01-02,5,1,0,2,67,67.49,5,0,0,65.24,3
2022-01-02,5,2,0,3,15,66.05,10,0,1,65.16,2
2022-01-02,5,3,0,3,333,80.88,20,1,1,84.97,3
2022-01-02,5,4,0,0,56,60.5,10,2,1,64.88,0
2022-01-02,5,5,0,3,165,71.72,20,1,0,75.17,2
2022-01-02,5,6,1,0,54,69.21,15,1,1,71.17,1
2022-01-02,5,7,1,2,93,70.69,20,3,0,71.37,3
2022-01-02,5,8,1,2,250,63.54,15,2,0,61.05,1
2022-01-02,5,9,1,3,90,78.08,10,0,0,73.69,3
2022-01-02,5,10,1,3,83,43.09,10,0,1,47.02,0
2022-01-02,5,11,1,2,16,25.67,5,0,1,27.78,3
2022-01-02,5,12,1,3,87,38.59,20,1,0,33.87,0
2022-01-02,5,13,1,2,241,57.99,5,0,0,55.4,0
2022-01-02,5,14,2,1,286,14.65,20,3,1,13.12,3
2022-01-02,5,15,2,3,60,63.26,0,1,1,61.02,2
2022-01-02,5,16,2,2,437,43.64,15,2,1,39.13,2
2022-01-02,5,17,2,0,377,84.85,20,0,1,84.29,1
2022-01-02,5,18,2,3,83,47.05,15,1,1,47.89,0
2022-01-02,5,19,2,3,203,76.83,20,3,0,75.86,0
2022-01-02,5,20,2,1,183,93.95,10,0,1,98.89,0
2022-01-03,1,1,0,3,5,62.7,20,1,0,58.22,3
2022-01-03,1,2,0,2,199,54.02,0,2,0,52.91,0
2022-01-03,1,3,0,1,176,26.03,10,1,0,29.38,3
2022-01-03,1,4,0,2,214,10.19,0,2,1,7.82,3
2022-01-03,1,5,0,3,165,95.54,0,0,0,91.29,0
2022-01-03,1,6,1,1,9,57.65,5,0,0,58.01,1
2022-01-03,1,7,1,1,140,87.85,20,0,0,91.9,3
2022-01-03,1,8,1,3,177,53.94,5,3,0,51.47,2
2022-01-03,1,9,1,1,217,61.42,20,0,0,65.86,3
2022-01-03,1,10,1,3,47,99.14,10,3,0,102.66,2
2022-01-03,1,11,1,2,3,60.52,0,2,0,62.72,2
2022-01-03,1,12,1,2,2,86.93,15,2,0,83.11,1
2022-01-03,1,13,1,1,18,83.11,10,3,1,85.16,1
2022-01-03,1,14,2,1,242,32.28,10,1,1,30.1,3
2022-01-03,1,15,2,0,228,52.17,10,0,1,52.43,1
2022-01-03,1,16,2,2,31,93.61,15,3,1,94.15,0
2022-01-03,1,17,2,0,16,98.25,5,0,0,100.34,0
2022-01-03,1,18,2,2,20,78.53,5,1,0,75.48,2
2022-01-03,1,19,2,1,193,56.91,0,0,1,54.2,0
2022-01-03,1,20,2,0,118,35.32,20,2,1,37.56,1
2022-01-03,2,1,0,0,96,48.08,0,1,1,49.4,2
2022-01-03,2,2,0,0,48,46.95,15,3,1,43.48,1
2022-01-03,2,3,0,3,130,94.45,20,2,1,99.26,3
2022-01-03,2,4,0,0,11,27.28,10,3,1,28.61,2
2022-01-03,2,5,0,3,313,29.74,0,3,1,31.67,3
2022-01-03,2,6,1,0,352,27.64,5,3,0,27.19,1
2022-01-03,2,7,1,1,265,60.54,5,1,0,55.83,2
2022-01-03,2,8,1,1,11,58.55,10,2,0,63.45,1
2022-01-03,2,9,1,1,191,58.59,0,2,0,60.98,1
2022-01-03,2,10,1,3,185,95.48,0,1,1,91.76,3
2022-01-03,2,11,1,0,143,37.81,20,3,1,37.14,2
2022-01-03,2,12,1,3,85,48.7,10,1,0,51.33,0
2022-01-03,2,13,1,3,270,65.89,10,2,0,64.52,1
2022-01-03,2,14,2,3,233,20.37,0,1,1,23.3,0
2022-01-03,2,15,2,3,187,46.25,0,3,0,49.2,0
2022-01-03,2,16,2,1,39,71.74,10,1,0,76.17,3
2022-01-03,2,17,2,3,234,20.57,10,1,1,22.24,2
2022-01-03,2,18,2,1,213,29.88,20,1,1,25.73,2
2022-01-03,2,19,2,0,55,73.98,15,1,1,73.5,3
2022-01-03,2,20,2,1,22,45.02,10,0,0,47.01,0
2022-01-03,3,1,0,0,100,82.88,10,0,1,86.74,2
2022-01-03,3,2,0,0,353,17.36,0,2,1,17.32,0
2022-01-03,3,3,0,3,255,42.7,20,3,0,40.38,2
2022-01-03,3,4,0,1,154,89.67,15,0,0,88.99,2
2022-01-03,3,5,0,2,147,65.77,0,2,1,61.06,0
2022-01-03,3,6,1,0,342,95.74,10,2,0,94.29,1
2022-01-03,3,7,1,3,54,98.9,0,2,0,97.62,1
2022-01-03,3,8,1,2,289,41.11,15,2,0,36.9,1
2022-01-03,3,9,1,1,179,42.07,0,3,1,37.66,3
2022-01-03,3,10,1,1,175,95.89,0,1,1,96.19,2
2022-01-03,3,11,1,3,209,84.12,5,0,0,89.06,0
2022-01-03,3,12,1,2,109,71.21,20,1,1,74.71,1
2022-01-03,3,13,1,1,43,49.23,0,1,1,47.75,0
2022-01-03,3,14,2,1,58,21.87,10,1,1,25.0,2
2022-01-03,3,15,2,1,399,60.83,0,2,1,60.34,0
2022-01-03,3,16,2,3,95,56.78,20,1,0,60.75,3
2022-01-03,3,17,2,3,296,76.12,5,3,0,77.55,0
2022-01-03,3,18,2,2,105,98.9,10,0,0,96.55,3
2022-01-03,3,19,2,2,103,46.24,5,2,0,47.84,2
2022-01-03,3,20,2,1,131,16.35,15,2,0,19.59,2
2022-01-03,4,1,0,2,66,83.63,15,0,0,79.9,1
2022-01-03,4,2,0,3,163,81.57,0,2,1,77.66,3
2022-01-03,4,3,0,1,98,44.68,10,3,0,42.55,0
2022-01-03,4,4,0,2,150,60.11,0,1,1,62.3,1
2022-01-03,4,5,0,0,15,24.63,20,3,0,27.97,3
2022-01-03,4,6,1,0,36,36.31,5,2,1,34.82,2
2022-01-03,4,7,1,2,303,11.36,15,2,1,15.64,2
2022-01-03,4,8,1,2,209,63.1,10,1,1,65.17,3
2022-01-03,4,9,1,3,69,30.82,20,0,0,35.26,3
2022-01-03,4,10,1,3,143,23.73,0,3,0,21.84,3
2022-01-03,4,11,1,3,239,29.49,5,0,0,31.68,3
2022-01-03,4,12,1,0,192,74.42,15,2,1,75.61,2
2022-01-03,4,13,1,1,23,58.3,20,1,1,59.12,2
2022-01-03,4,14,2,2,165,60.58,0,0,1,58.02,3
2022-01-03,4,15,2,1,85,73.48,0,1,0,77.0,0
2022-01-03,4,16,2,2,79,16.18,10,2,0,18.35,0
2022-01-03,4,17,2,0,33,38.52,15,1,0,39.57,0
2022-01-03,4,18,2,1,270,46.93,0,3,0,46.83,3
2022-01-03,4,19,2,0,1,80.41,0,3,0,76.9,3
2022-01-03,4,20,2,2,149,95.33,20,2,0,97.42,3
2022-01-03,5,1,0,0,3,36.3,0,3,0,34.96,3
2022-01-03,5,2,0,0,59,82.08,10,0,1,84.13,0
2022-01-03,5,3,0,2,15,46.4,20,3,0,49.42,1
2022-01-03,5,4,0,1,351,59.76,5,2,0,57.14,0
2022-01-03,5,5,0,0,66,60.35,20,0,1,60.81,3
2022-01-03,5,6,1,3,62,40.61,10,3,1,44.37,2
2022-01-03,5,7,1,3,77,63.61,5,1,1,63.81,3
2022-01-03,5,8,1,1,177,97.09,5,3,1,95.17,1
2022-01-03,5,9,1,3,349,52.72,10,0,0,55.74,3
2022-01-03,5,10,1,0,74,14.41,20,0,1,11.25,0
2022-01-03,5,11,1,0,40,74.14,0,2,1,69.67,3
2022-01-03,5,12,1,0,72,46.94,20,1,1,46.58,3
2022-01-03,5,13,1,1,190,23.04,5,3,0,19.33,2
2022-01-03,5,14,2,0,263,28.02,5,0,1,23.72,2
2022-01-03,5,15,2,1,126,86.82,20,2,0,85.26,2
2022-01-03,5,16,2,0,17,80.31,5,2,1,76.56,0
2022-01-03,5,17,2,2,19,41.28,10,1,0,40.59,0
2022-01-03,5,18,2,0,36,38.42,0,3,1,35.98,3
2022-01-03,5,19,2,0,207,59.93,20,3,0,64.67,2
2022-01-03,5,20,2,1,91,66.76,5,0,0,62.53,1
2022-01-04,1,1,0,1,58,77.88,15,2,1,75.99,3
2022-01-04,1,2,0,0,91,88.22,15,0,1,87.44,2
2022-01-04,1,3,0,1,70,10.55,15,2,0,7.6,3
2022-01-04,1,4,0,0,0,44.81,5,0,1,45.53,3
2022-01-04,1,5,0,2,32,69.65,10,3,0,73.5,0
2022-01-04,1,6,1,1,8,53.35,20,2,0,55.07,0
2022-01-04,1,7,1,0,341,33.47,5,2,0,28.95,0
2022-01-04,1,8,1,2,347,61.1,20,0,0,58.46,3
2022-01-04,1,9,1,0,15,45.25,10,0,0,46.74,1
2022-01-04,1,10,1,2,85,94.98,20,1,0,98.87,2
2022-01-04,1,11,1,1,30,24.21,0,0,0,25.48,0
2022-01-04,1,12,1,3,136,66.07,5,3,0,70.84,3
2022-01-04,1,13,1,0,31,34.68,10,0,0,33.73,3
2022-01-04,1,14,2,2,7,98.28,15,2,1,95.38,0
2022-01-04,1,15,2,3,377,87.24,10,2,1,88.66,0
2022-01-04,1,16,2,0,28,93.4,10,0,0,93.22,1
2022-01-04,1,17,2,3,348,53.02,0,2,1,57.08,2
2022-01-04,1,18,2,1,258,58.54,5,0,1,60.77,1
2022-01-04,1,19,2,3,41,63.29,15,0,1,61.73,2
2022-01-04,1,20,2,0,49,10.93,0,3,1,10.76,3
2022-01-04,2,1,0,0,83,45.49,5,0,1,44.33,0
2022-01-04,2,2,0,3,60,52.33,10,2,1,51.78,1
2022-01-04,2,3,0,0,448,41.55,15,1,0,44.02,3
2022-01-04,2,4,0,2,11,58.13,0,0,1,61.63,1
2022-01-04,2,5,0,2,390,25.67,10,3,0,23.55,0
2022-01-04,2,6,1,3,81,33.96,0,0,0,29.22,1
2022-01-04,2,7,1,0,121,81.35,20,2,0,82.18,0
2022-01-04,2,8,1,3,44,57.34,20,1,0,56.99,0
2022-01-04,2,9,1,2,88,50.36,15,2,0,47.77,3
2022-01-04,2,10,1,3,142,51.34,15,1,1,53.35,2
2022-01-04,2,11,1,0,48,13.09,20,3,1,11.98,1
2022-01-04,2,12,1,0,61,94.85,0,2,0,93.92,3
2022-01-04,2,13,1,2,140,16.47,5,0,0,17.47,1
2022-01-04,2,14,2,3,390,82.15,15,2,1,79.63,1
2022-01-04,2,15,2,0,91,61.13,5,1,0,62.56,1
2022-01-04,2,16,2,2,32,63.74,10,3,0,61.83,3
2022-01-04,2,17,2,2,60,66.78,10,3,1,67.89,3
2022-01-04,2,18,2,1,206,30.12,15,0,1,27.89,3
2022-01-04,2,19,2,3,108,31.26,10,0,1,33.52,1
2022-01-04,2,20,2,2,349,21.47,0,1,0,17.22,3
2022-01-04,3,1,0,1,271,81.01,20,1,0,83.63,1
2022-01-04,3,2,0,1,202,59.97,5,3,1,61.76,0
2022-01-04,3,3,0,0,34,26.87,10,3,0,30.53,1
2022-01-04,3,4,0,3,165,99.12,10,1,0,97.69,1
2022-01-04,3,5,0,0,2,24.29,5,1,0,25.5,1
2022-01-04,3,6,1,2,308,18.48,0,1,1,17.76,2
2022-01-04,3,7,1,0,76,54.73,10,3,1,52.32,0
2022-01-04,3,8,1,2,91,59.61,5,1,1,57.85,1
2022-01-04,3,9,1,3,113,14.64,20,2,1,12.8,0
2022-01-04,3,10,1,2,274,63.63,15,2,1,62.96,3
2022-01-04,3,11,1,2,116,95.99,10,0,0,95.78,2
2022-01-04,3,12,1,0,5,75.41,5,1,1,75.03,1
2022-01-04,3,13,1,2,115,24.19,15,1,1,28.03,2
2022-01-04,3,14,2,2,79,85.33,0,0,1,82.64,0
2022-01-04,3,15,2,2,223,15.58,15,2,0,19.75,3
2022-01-04,3,16,2,3,258,19.63,10,2,1,20.65,1
2022-01-04,3,17,2,3,236,53.81,0,1,0,49.72,3
2022-01-04,3,18,2,0,309,37.49,20,2,0,40.66,2
2022-01-04,3,19,2,0,32,38.2,0,1,0,38.42,1
2022-01-04,3,20,2,1,44,84.13,15,3,1,84.05,3
2022-01-04,4,1,0,1,145,20.39,15,0,0,21.17,1
2022-01-04,4,2,0,0,150,70.46,20,0,1,66.42,1
2022-01-04,4,3,0,3,40,53.13,5,3,1,48.66,0
2022-01-04,4,4,0,3,245,82.0,10,0,1,81.29,3
2022-01-04,4,5,0,0,241,75.55,15,3,0,75.67,2
2022-01-04,4,6,1,1,138,50.26,0,2,1,47.5,2
2022-01-04,4,7,1,2,152,56.58,5,2,1,52.57,2
2022-01-04,4,8,1,3,12,37.17,10,1,1,32.41,3
2022-01-04,4,9,1,1,158,82.75,20,0,1,83.85,3
2022-01-04,4,10,1,0,265,23.53,10,0,1,24.56,0
2022-01-04,4,11,1,2,240,56.3,5,0,0,60.74,0
2022-01-04,4,12,1,0,153,94.09,5,2,0,90.8,0
2022-01-04,4,13,1,3,68,24.53,20,3,1,23.7,0
2022-01-04,4,14,2,3,302,70.33,20,3,0,72.22,2
2022-01-04,4,15,2,3,70,79.68,5,1,1,77.12,0
2022-01-04,4,16,2,3,92,25.69,0,0,0,27.17,2
2022-01-04,4,17,2,2,275,25.04,5,0,1,29.56,1
2022-01-04,4,18,2,2,3,56.02,15,0,0,59.96,3
2022-01-04,4,19,2,3,307,31.39,5,1,1,29.82,3
2022-01-04,4,20,2,1,62,86.86,15,3,0,89.19,0
2022-01-04,5,1,0,0,195,21.71,20,1,0,24.12,3
2022-01-04,5,2,0,3,33,40.56,5,1,1,39.9,3
2022-01-04,5,3,0,1,263,29.2,5,3,0,30.66,3
2022-01-04,5,4,0,3,83,82.18,20,2,1,78.43,1
2022-01-04,5,5,0,1,78,45.85,15,0,1,43.84,2
2022-01-04,5,6,1,3,118,42.08,10,0,0,37.49,1
2022-01-04,5,7,1,0,147,51.22,10,2,1,54.22,0
2022-01-04,5,8,1,1,216,62.03,20,2,0,64.13,1
2022-01-04,5,9,1,3,27,36.53,15,3,1,35.63,0
2022-01-04,5,10,1,0,172,84.66,5,1,1,79.81,3
2022-01-04,5,11,1,3,78,39.15,0,3,1,35.15,2
2022-01-04,5,12,1,1,196,45.65,15,2,1,48.04,1
2022-01-04,5,13,1,0,75,40.27,15,0,1,41.66,1
2022-01-04,5,14,2,3,11,82.99,15,3,1,87.85,0
2022-01-04,5,15,2,3,144,60.15,20,2,1,61.9,1
2022-01-04,5,16,2,0,200,15.19,10,0,0,12.13,3
2022-01-04,5,17,2,0,256,37.46,20,2,1,33.09,2
2022-01-04,5,18,2,2,118,34.44,10,2,0,33.51,0
2022-01-04,5,19,2,0,244,84.99,20,1,0,85.21,2
2022-01-04,5,20,2,3,54,81.63,10,1,0,78.32,2
2022-01-05,1,1,0,1,147,28.46,20,0,1,29.4,3
2022-01-05,1,2,0,3,220,79.54,10,1,0,80.22,0
2022-01-05,1,3,0,1,97,80.57,5,1,1,78.89,1
2022-01-05,1,4,0,0,29,93.53,20,3,1,93.55,2
2022-01-05,1,5,0,3,192,46.13,0,2,0,42.56,0
2022-01-05,1,6,1,0,158,60.2,0,1,1,57.13,3
2022-01-05,1,7,1,3,8,53.65,5,2,0,53.31,2
2022-01-05,1,8,1,3,42,59.2,5,3,0,58.19,3
2022-01-05,1,9,1,2,5,98.03,5,1,0,93.57,0
2022-01-05,1,10,1,2,93,32.6,20,1,0,32.17,0
2022-01-05,1,11,1,0,44,53.31,5,0,1,52.89,0
2022-01-05,1,12,1,3,78,93.96,20,0,0,98.29,1
2022-01-05,1,13,1,2,57,83.3,0,3,0,82.46,1
2022-01-05,1,14,2,0,161,12.66,15,1,1,12.38,2
2022-01-05,1,15,2,3,172,55.77,20,1,1,59.56,3
2022-01-05,1,16,2,2,132,30.15,15,1,0,26.17,2
2022-01-05,1,17,2,2,46,63.75,5,3,0,60.02,3
2022-01-05,1,18,2,1,17,97.51,10,3,0,97.99,0
2022-01-05,1,19,2,3,38,49.8,5,1,1,47.76,2
2022-01-05,1,20,2,3,11,33.3,10,1,0,37.71,3
