Customer ID,Age,Gender,Location,Region,Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
19,52,Male,Montana,West,S,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Male,Rhode Island,East,M,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Male,Louisiana,South,M,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Male,North Carolina,South,M,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Male,California,West,M,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,31,Male,Oklahoma,South,XL,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,18,Male,Florida,South,M,Autumn,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,Male,Texas,South,M,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,38,Male,Nevada,West,M,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Male,Kentucky,South,L,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,North Carolina,South,M,Autumn,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,Male,Wyoming,West,S,Autumn,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,North Carolina,South,L,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,West Virginia,South,L,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Male,Kansas,West,M,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Male,Colorado,West,L,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,North Dakota,North,L,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Male,Massachusetts,East,M,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,Illinois,North,M,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,Indiana,North,S,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Male,Florida,South,M,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,Arizona,West,S,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Louisiana,South,L,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Alaska,West,M,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,Male,Tennessee,South,M,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Male,Ohio,East,L,Autumn,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,Male,Kentucky,South,S,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Male,Tennessee,South,XL,Autumn,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Male,California,West,L,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,Montana,West,M,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,Nevada,West,M,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,New Jersey,East,S,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Maryland,East,M,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Vermont,North,XL,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,Alaska,West,M,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Mississippi,South,S,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,New Mexico,West,M,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,South Carolina,South,M,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,Mississippi,South,XL,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,West Virginia,South,M,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Missouri,South,M,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Male,Louisiana,South,L,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Idaho,West,L,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,Texas,South,M,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Mississippi,South,S,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Arizona,West,L,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Alabama,South,S,Autumn,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,New Jersey,East,M,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,Male,Pennsylvania,East,S,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,Male,Connecticut,East,L,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Utah,West,L,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Tennessee,South,S,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,Alabama,South,M,Autumn,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Virginia,South,L,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,Georgia,South,M,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Hawaii,West,M,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Indiana,North,L,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,Utah,West,M,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,Delaware,East,S,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Male,Delaware,East,L,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Nebraska,North,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,Male,Iowa,west,M,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,New York,East,XL,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Virginia,South,L,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Georgia,South,S,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Texas,South,M,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,Arizona,West,S,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,New Mexico,West,M,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Nevada,West,L,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Ohio,East,M,Autumn,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,Wyoming,West,M,Autumn,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,California,West,XL,Autumn,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,South Carolina,South,L,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,South Carolina,South,S,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Texas,South,M,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,Florida,South,M,Autumn,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Nevada,West,S,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Missouri,South,L,Autumn,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,Male,Delaware,East,S,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Male,Virginia,South,M,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,New York,East,XL,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,Missouri,South,XL,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,South Dakota,North,M,Autumn,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,North Dakota,North,XL,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Oklahoma,South,L,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,West Virginia,South,L,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Male,New Hampshire,North,L,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Male,New York,East,M,Autumn,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Minnesota,North,L,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Maryland,East,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Male,Montana,West,L,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,Alabama,South,M,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,New York,East,M,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Male,Massachusetts,East,L,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,Florida,South,M,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Male,New Jersey,East,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Male,Massachusetts,East,S,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,Wyoming,West,M,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Virginia,South,S,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Male,South Dakota,North,L,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Kentucky,South,L,Autumn,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Wyoming,West,M,Autumn,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,West Virginia,South,L,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,Virginia,South,M,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Washington,West,L,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Louisiana,South,L,Autumn,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Nevada,West,M,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Male,California,West,M,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,Male,Mississippi,South,L,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Mississippi,South,M,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,California,West,M,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Pennsylvania,East,XL,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Male,Kentucky,South,L,Autumn,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Male,Maine,North,L,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,New Mexico,West,M,Autumn,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Male,Montana,West,M,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,Male,Texas,South,L,Autumn,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,Kansas,West,M,Autumn,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,Male,South Carolina,South,M,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Colorado,West,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Male,Georgia,South,M,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Florida,South,M,Autumn,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Male,North Carolina,South,L,Autumn,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Virginia,South,M,Autumn,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,Male,Nebraska,North,L,Autumn,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Missouri,South,M,Autumn,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Male,New Jersey,East,M,Autumn,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,Missouri,South,M,Autumn,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Colorado,West,S,Autumn,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Male,Idaho,West,M,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Wyoming,West,M,Autumn,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,Delaware,East,M,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,Male,California,West,L,Autumn,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,North Dakota,North,L,Autumn,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,Male,South Carolina,South,S,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,69,Male,North Carolina,South,M,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,Oklahoma,South,M,Autumn,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,Male,Maine,North,S,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,Missouri,South,M,Autumn,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,Vermont,North,S,Autumn,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Connecticut,East,XL,Autumn,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,New Hampshire,North,M,Autumn,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Texas,South,M,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,65,Male,North Dakota,North,M,Autumn,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,54,Male,California,West,M,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,Virginia,South,M,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Delaware,East,S,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Kentucky,South,S,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,Delaware,East,XL,Autumn,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,Arkansas,South,M,Autumn,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Louisiana,South,M,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Nevada,West,S,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,52,Male,Wyoming,West,M,Autumn,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,29,Male,Virginia,South,M,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Nebraska,North,M,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hawaii,West,M,Autumn,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,Vermont,North,L,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,53,Male,Oklahoma,South,L,Autumn,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,New Hampshire,North,L,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Kansas,West,L,Autumn,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,Idaho,West,L,Autumn,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
180,64,Male,Illinois,North,M,Autumn,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,South Dakota,North,L,Autumn,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Massachusetts,East,M,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
183,38,Male,Alabama,South,XL,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,58,Male,Ohio,East,XL,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Hawaii,West,L,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
186,46,Male,Wisconsin,North,XL,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Minnesota,North,S,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
188,19,Male,Georgia,South,S,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Arkansas,South,M,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,West Virginia,South,M,Autumn,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
191,65,Male,Indiana,North,XL,Autumn,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly
192,64,Male,Utah,West,M,Autumn,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
193,46,Male,Nebraska,North,L,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly
194,36,Male,North Dakota,North,S,Autumn,3,Yes,Standard,Yes,Yes,29,Venmo,Annually
195,51,Male,Missouri,South,M,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly
196,51,Male,New York,East,M,Autumn,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly
197,38,Male,Washington,West,M,Summer,3.9,Yes,Next Day Air,Yes,Yes,41,Credit Card,Fortnightly
198,59,Male,South Carolina,South,M,Autumn,3.2,Yes,2-Day Shipping,Yes,Yes,41,Credit Card,Monthly
199,57,Male,Utah,West,M,Winter,4.8,Yes,Standard,Yes,Yes,39,Credit Card,Fortnightly
200,54,Male,Idaho,West,XL,Summer,3.8,Yes,Express,Yes,Yes,32,Cash,Weekly
201,25,Male,Pennsylvania,East,S,Summer,3.3,Yes,Next Day Air,Yes,Yes,29,Venmo,Monthly
202,69,Male,Missouri,South,S,Autumn,4.3,Yes,Free Shipping,Yes,Yes,15,Bank Transfer,Annually
203,57,Male,Nebraska,North,L,Spring,2.7,Yes,Express,Yes,Yes,33,Venmo,Annually
204,70,Male,Indiana,North,S,Autumn,3.2,Yes,Next Day Air,Yes,Yes,18,Bank Transfer,Weekly
205,24,Male,Arizona,West,M,Autumn,4,Yes,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly
206,67,Male,Hawaii,West,M,Winter,3,Yes,Standard,Yes,Yes,25,PayPal,Weekly
207,24,Male,Wisconsin,North,L,Summer,4.2,Yes,Free Shipping,Yes,Yes,6,Venmo,Fortnightly
208,62,Male,Rhode Island,East,M,Summer,2.9,Yes,Express,Yes,Yes,17,Bank Transfer,Bi-Weekly
209,57,Male,Wisconsin,North,M,Spring,4.1,Yes,Store Pickup,Yes,Yes,17,Credit Card,Monthly
210,55,Male,Minnesota,North,S,Winter,3.2,Yes,Store Pickup,Yes,Yes,44,Cash,Every 3 Months
211,45,Male,Vermont,North,L,Autumn,3,Yes,2-Day Shipping,Yes,Yes,6,PayPal,Fortnightly
212,69,Male,South Dakota,North,L,Autumn,4.2,Yes,2-Day Shipping,Yes,Yes,45,Debit Card,Fortnightly
213,67,Male,Virginia,South,L,Autumn,4.2,Yes,Express,Yes,Yes,7,Debit Card,Annually
214,30,Male,Nevada,West,L,Autumn,4.4,Yes,Store Pickup,Yes,Yes,11,Debit Card,Every 3 Months
215,24,Male,Hawaii,West,L,Summer,4.2,Yes,Next Day Air,Yes,Yes,41,Cash,Every 3 Months
216,62,Male,New Jersey,East,S,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly
217,43,Male,Massachusetts,East,L,Spring,3.7,Yes,Free Shipping,Yes,Yes,21,Venmo,Weekly
218,35,Male,Oklahoma,South,M,Winter,3.5,Yes,Next Day Air,Yes,Yes,24,Bank Transfer,Annually
219,28,Male,California,West,S,Spring,2.9,Yes,Store Pickup,Yes,Yes,8,Credit Card,Quarterly
220,32,Male,Nevada,West,M,Spring,3,Yes,Free Shipping,Yes,Yes,12,Cash,Fortnightly
221,39,Male,Arizona,West,S,Spring,3.7,Yes,Express,Yes,Yes,48,Debit Card,Fortnightly
222,28,Male,North Carolina,South,XL,Summer,4.4,Yes,Store Pickup,Yes,Yes,6,Bank Transfer,Quarterly
223,47,Male,New York,East,XL,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,14,PayPal,Fortnightly
224,20,Male,Wyoming,West,M,Spring,4.8,Yes,Free Shipping,Yes,Yes,34,PayPal,Annually
225,63,Male,South Dakota,North,S,Summer,2.9,Yes,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
226,25,Male,Arkansas,South,M,Spring,3.2,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Annually
227,29,Male,Texas,South,L,Spring,3.3,Yes,Free Shipping,Yes,Yes,5,PayPal,Monthly
228,50,Male,Rhode Island,East,M,Winter,4.2,Yes,Standard,Yes,Yes,25,Venmo,Fortnightly
229,18,Male,New Hampshire,North,M,Spring,2.9,Yes,Store Pickup,Yes,Yes,11,Credit Card,Annually
230,70,Male,Ohio,East,S,Spring,4.6,Yes,Next Day Air,Yes,Yes,27,PayPal,Every 3 Months
231,66,Male,Utah,West,L,Autumn,4.1,Yes,Standard,Yes,Yes,43,Credit Card,Annually
232,28,Male,Tennessee,South,M,Spring,3.1,Yes,2-Day Shipping,Yes,Yes,18,Debit Card,Every 3 Months
233,54,Male,Hawaii,West,L,Winter,4.2,Yes,Express,Yes,Yes,32,Bank Transfer,Bi-Weekly
234,19,Male,Arizona,West,XL,Autumn,4.5,Yes,Next Day Air,Yes,Yes,27,Bank Transfer,Every 3 Months
235,20,Male,South Dakota,North,S,Summer,3.7,Yes,Next Day Air,Yes,Yes,24,Credit Card,Weekly
236,43,Male,New Jersey,East,M,Winter,3.7,Yes,Free Shipping,Yes,Yes,31,Debit Card,Quarterly
237,38,Male,North Dakota,North,L,Winter,3.4,Yes,Next Day Air,Yes,Yes,39,PayPal,Fortnightly
238,50,Male,Iowa,west,M,Summer,3,Yes,Store Pickup,Yes,Yes,36,Debit Card,Fortnightly
239,64,Male,Ohio,East,M,Autumn,4.2,Yes,Free Shipping,Yes,Yes,5,Cash,Annually
240,49,Male,Vermont,North,L,Summer,2.9,Yes,Express,Yes,Yes,47,Credit Card,Bi-Weekly
241,47,Male,Montana,West,XL,Winter,3.5,Yes,Free Shipping,Yes,Yes,29,Bank Transfer,Fortnightly
242,36,Male,Delaware,East,M,Winter,4.1,Yes,Free Shipping,Yes,Yes,43,Venmo,Bi-Weekly
243,55,Male,New York,East,L,Summer,4.3,Yes,Store Pickup,Yes,Yes,40,Debit Card,Every 3 Months
244,25,Male,Kentucky,South,M,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,4,Debit Card,Monthly
