Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Holding Cost per Unit,Lead Time (Days),Ordering Cost,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,Predicted_Demand,Absolute_Error,Percentage_Error
2023-08-09,4,8,2,3,138.0,87,37.0,77.28,51.17,10.0,2,1,55.91,4,9.94,5.0,36.82096495,2,9,32,3,159.0,81.72,105.74534161490683
2023-08-09,5,8,2,2,246.0,162,196.0,164.0,19.29,15.0,3,1,19.47,2,4.8,2.0,31.85801651,2,9,32,3,119.0,45.0,27.439024390243905
2023-08-09,5,11,2,2,215.0,120,87.0,112.5,27.64,0.0,3,1,24.6,2,3.13,5.0,49.8070764,2,9,32,3,168.0,55.5,49.333333333333336
2023-08-09,4,11,2,2,84.0,35,26.0,52.48,99.22,10.0,1,1,100.9,1,5.47,5.0,49.8070764,2,9,32,3,135.0,82.52000000000001,157.24085365853662
2023-08-09,3,11,2,1,432.0,248,112.0,251.82,52.49,0.0,4,0,48.59,2,3.68,5.0,34.88152939,2,9,32,3,244.0,7.819999999999993,3.105392740846634
2023-08-09,1,11,2,1,381.0,295,111.0,313.17,72.1,5.0,1,1,67.83,2,4.8,5.0,34.88152939,2,9,32,3,278.0,35.170000000000016,11.230322189226303
2023-08-09,1,17,1,3,98.0,59,75.0,73.82,56.0,0.0,2,0,52.98,4,5.9,2.0,62.08787923,2,9,32,3,48.0,25.819999999999993,34.97697101056624
2023-08-09,2,17,1,3,389.0,74,135.0,93.98,54.22,20.0,2,0,56.94,1,5.24,2.0,62.08787923,2,9,32,3,56.0,37.980000000000004,40.41285379868057
2023-08-09,3,17,1,3,403.0,202,148.0,218.69,76.68,5.0,2,0,81.67,3,5.99,5.0,62.08787923,2,9,32,3,184.0,34.69,15.86263660889844
2023-08-09,5,17,1,1,118.0,98,55.0,97.74,50.15,0.0,3,1,49.17,1,7.47,5.0,41.23738039,2,9,32,3,166.0,68.26,69.83834663392675
2023-08-09,2,11,2,2,165.0,71,39.0,85.44,95.48,15.0,3,1,90.77,2,7.39,5.0,49.8070764,2,9,32,3,143.0,57.56,67.36891385767791
2023-08-09,2,10,2,2,108.0,62,46.0,68.91,13.87,5.0,1,1,10.21,3,3.74,5.0,33.90688456,2,9,32,3,138.0,69.09,100.2612102742708
2023-08-09,1,10,2,3,388.0,33,155.0,30.06,78.44,10.0,4,0,79.1,4,3.3,2.0,47.60609975,2,9,32,3,57.0,26.94,89.62075848303394
2023-08-09,3,7,2,1,303.0,7,47.0,10.37,88.34,5.0,4,1,92.8,2,9.91,2.0,48.24279937,2,9,32,3,36.0,25.630000000000003,247.15525554484094
2023-08-09,4,7,2,3,378.0,32,102.0,44.47,45.07,15.0,3,1,48.77,4,6.53,2.0,50.56937754,2,9,32,3,36.0,8.469999999999999,19.046548234765005
2023-08-09,5,7,2,1,228.0,13,34.0,21.72,77.43,5.0,3,0,80.06,4,6.27,2.0,48.24279937,2,9,32,3,36.0,14.280000000000001,65.74585635359117
2023-08-09,5,9,2,4,265.0,205,62.0,203.84,66.59,20.0,1,1,65.73,3,6.4,5.0,68.62528132,2,9,32,3,189.0,14.840000000000003,7.280219780219782
2023-08-09,5,19,1,2,477.0,426,152.0,419.55,55.31,5.0,1,0,52.82,3,2.36,5.0,62.61845714,2,9,32,3,350.0,69.55000000000001,16.577285186509357
2023-08-09,3,9,2,1,325.0,65,162.0,67.42,50.46,5.0,4,1,54.18,4,8.66,2.0,32.60206372,2,9,32,3,43.0,24.42,36.22070602195194
2023-08-09,2,9,2,1,260.0,237,180.0,233.12,48.5,15.0,1,1,49.28,1,6.44,5.0,32.60206372,2,9,32,3,201.0,32.120000000000005,13.77831159917639
2023-08-09,1,9,2,4,57.0,24,52.0,18.46,72.05,15.0,1,0,70.22,4,5.19,2.0,68.62528132,2,9,32,3,35.0,16.54,89.59913326110508
2023-08-09,1,2,3,3,57.0,32,96.0,38.19,87.66,5.0,1,1,89.01,1,10.81,2.0,64.64704583,2,9,32,3,42.0,3.8100000000000023,9.976433621366857
2023-08-09,2,2,3,2,188.0,77,63.0,82.09,84.69,0.0,2,1,80.23,4,13.38,5.0,36.23978081,2,9,32,3,146.0,63.91,77.85357534413448
2023-08-09,3,2,3,1,125.0,74,75.0,93.05,11.06,0.0,3,1,9.4,4,5.39,5.0,36.24074562,2,9,32,3,147.0,53.95,57.97958087049974
2023-08-09,4,2,3,4,356.0,335,79.0,351.7,69.6,0.0,1,0,71.06,1,7.31,5.0,32.32334449,2,9,32,3,310.0,41.69999999999999,11.856696047767981
2023-08-09,5,2,3,3,332.0,232,193.0,228.85,21.97,15.0,3,1,21.02,1,7.91,5.0,64.64704583,2,9,32,3,229.0,0.15000000000000568,0.06554511688879427
2023-08-09,5,18,1,1,343.0,256,38.0,261.71,46.96,10.0,4,1,47.16,4,7.16,5.0,32.98202575,2,9,32,3,258.0,3.7099999999999795,1.4175996331817584
2023-08-09,4,18,1,3,484.0,61,123.0,74.42,46.18,5.0,4,0,48.43,3,2.81,2.0,37.94862726,2,9,32,3,61.0,13.420000000000002,18.0327868852459
2023-08-09,3,18,1,3,305.0,240,127.0,256.83,82.01,10.0,3,1,80.72,4,2.39,5.0,37.94862726,2,9,32,3,225.0,31.829999999999984,12.393411984581235
2023-08-09,2,18,1,1,423.0,352,96.0,349.67,56.64,5.0,2,0,56.23,3,6.56,5.0,32.98202575,2,9,32,3,322.0,27.670000000000016,7.913175279549294
2023-08-09,1,3,3,1,437.0,255,200.0,256.32,59.41,5.0,4,1,62.69,1,13.77,5.0,54.04460047,2,9,32,3,232.0,24.319999999999993,9.488139825218475
2023-08-09,2,3,3,2,443.0,302,78.0,294.36,74.25,0.0,3,1,78.09,3,14.09,5.0,58.32290311,2,9,32,3,260.0,34.360000000000014,11.672781627938583
2023-08-09,3,3,3,3,316.0,145,53.0,141.77,20.75,0.0,3,1,20.76,3,11.01,5.0,68.79639409,2,9,32,3,183.0,41.22999999999999,29.0823164280172
2023-08-09,4,3,3,1,263.0,241,94.0,247.02,48.43,20.0,3,0,52.61,4,10.02,5.0,54.04460047,2,9,32,3,224.0,23.02000000000001,9.31908347502227
2023-08-09,5,3,3,2,132.0,18,175.0,33.38,91.33,5.0,2,0,95.01,4,8.06,2.0,58.32290311,2,9,32,3,49.0,15.619999999999997,46.79448771719591
2023-08-09,5,12,2,3,369.0,348,33.0,342.54,55.15,5.0,4,1,50.69,2,4.54,5.0,50.80272085,2,9,32,3,304.0,38.54000000000002,11.251240731009522
2023-08-09,2,7,2,1,198.0,14,80.0,31.1,77.06,15.0,3,1,73.5,3,7.49,2.0,48.24279937,2,9,32,3,35.0,3.8999999999999986,12.54019292604501
2023-08-09,4,12,2,2,89.0,5,129.0,12.29,15.35,15.0,3,0,15.45,1,6.8,2.0,56.50089137,2,9,32,3,50.0,37.71,306.83482506102524
2023-08-09,2,12,2,1,399.0,283,150.0,277.39,99.21,15.0,2,1,97.3,2,8.77,5.0,40.35119926,2,9,32,3,235.0,42.389999999999986,15.281733299686358
2023-08-09,1,12,2,4,179.0,46,21.0,48.99,30.18,10.0,4,0,27.47,1,8.2,5.0,42.46844304,2,9,32,3,103.0,54.01,110.24698918146561
2023-08-09,1,13,2,2,488.0,463,178.0,472.85,37.32,20.0,4,0,36.77,2,8.52,5.0,37.39417822,2,9,32,3,360.0,112.85000000000002,23.86591942476473
2023-08-09,3,13,2,4,417.0,134,124.0,130.7,66.56,10.0,4,0,64.69,1,5.86,5.0,68.78338511,2,9,32,3,194.0,63.30000000000001,48.43152257077277
2023-08-09,4,13,2,4,386.0,313,70.0,307.52,15.16,20.0,1,1,10.69,3,8.45,5.0,68.78338511,2,9,32,3,298.0,9.519999999999982,3.0957336108220543
2023-08-09,5,13,2,3,131.0,8,140.0,5.42,16.64,0.0,2,0,21.61,1,5.71,2.0,61.00531293,2,9,32,3,56.0,50.58,933.2103321033211
2023-08-09,3,12,2,4,439.0,24,101.0,33.65,37.89,20.0,3,1,38.7,2,8.18,2.0,42.46844304,2,9,32,3,41.0,7.350000000000001,21.84249628528975
2023-08-09,1,7,2,2,76.0,66,98.0,62.54,47.92,0.0,2,1,50.14,4,8.17,2.0,61.40703846,2,9,32,3,43.0,19.54,31.24400383754397
2023-08-09,4,9,2,4,63.0,49,111.0,41.63,53.01,5.0,3,0,57.46,4,5.66,2.0,68.62528132,2,9,32,3,37.0,4.630000000000003,11.121787172711992
2023-08-09,3,10,2,2,482.0,52,72.0,69.2,91.54,5.0,2,0,87.56,4,3.83,2.0,33.90688456,2,9,32,3,38.0,31.200000000000003,45.08670520231214
2023-08-09,1,4,3,2,381.0,259,120.0,263.03,49.66,0.0,4,1,45.13,4,11.88,5.0,38.49356443,2,9,32,3,241.0,22.029999999999973,8.375470478652616
2023-08-09,1,18,1,2,154.0,139,121.0,154.59,17.86,0.0,4,1,18.82,2,2.31,5.0,69.47547746,2,9,32,3,170.0,15.409999999999997,9.96830325376803
2023-08-09,2,4,3,1,316.0,270,60.0,284.22,54.55,20.0,2,0,51.82,4,13.99,5.0,63.29770563,2,9,32,3,256.0,28.220000000000027,9.928928294982768
2023-08-09,3,4,3,4,277.0,184,55.0,176.62,53.76,5.0,2,1,51.2,3,11.79,5.0,37.27299869,2,9,32,3,183.0,6.3799999999999955,3.6122749405503316
2023-08-09,5,1,3,1,218.0,13,95.0,5.86,67.25,20.0,4,0,69.09,1,9.4,2.0,44.98160475,2,9,32,3,56.0,50.14,855.6313993174061
2023-08-09,4,1,3,3,333.0,304,147.0,322.92,50.57,20.0,1,0,54.65,2,14.34,5.0,53.94633937,2,9,32,3,290.0,32.920000000000016,10.19447541186672
2023-08-09,3,1,3,4,331.0,80,41.0,91.47,23.77,5.0,1,0,25.61,1,7.58,5.0,59.27975767,2,9,32,3,164.0,72.53,79.29375751612551
2023-08-09,2,1,3,2,276.0,130,145.0,147.84,31.06,15.0,3,1,30.93,4,8.52,5.0,68.02857226,2,9,32,3,180.0,32.16,21.75324675324675
2023-08-09,1,1,3,1,470.0,455,88.0,462.39,74.81,20.0,4,1,75.12,4,9.57,5.0,44.98160475,2,9,32,3,362.0,100.38999999999999,21.711109669326756
2023-08-09,4,4,3,4,457.0,39,143.0,54.03,66.04,20.0,2,1,64.77,4,9.02,2.0,37.27299869,2,9,32,3,55.0,0.9699999999999989,1.795298908014064
2023-08-09,1,6,2,3,216.0,102,180.0,116.26,31.88,15.0,4,0,30.03,2,7.83,2.0,44.65447373,2,9,32,3,92.0,24.260000000000005,20.867022191639432
2023-08-09,2,6,2,3,353.0,16,141.0,15.05,24.67,10.0,3,0,25.63,1,5.84,2.0,44.65447373,2,9,32,3,52.0,36.95,245.51495016611295
2023-08-09,3,6,2,1,375.0,145,90.0,147.62,10.81,15.0,3,0,5.9,4,7.85,5.0,54.47411579,2,9,32,3,179.0,31.379999999999995,21.257282211082508
2023-08-09,4,6,2,2,120.0,67,87.0,67.7,32.29,10.0,2,0,28.43,1,6.8,2.0,35.57975443,2,9,32,3,63.0,4.700000000000003,6.942392909896607
2023-08-09,5,6,2,2,325.0,204,39.0,221.75,96.87,15.0,2,0,95.91,2,5.33,5.0,35.57975443,2,9,32,3,181.0,40.75,18.376550169109358
2023-08-09,5,4,3,4,101.0,0,98.0,17.11,10.83,10.0,4,0,8.39,1,6.12,2.0,37.27299869,2,9,32,3,51.0,33.89,198.07130333138517
2023-08-09,5,10,2,4,326.0,88,102.0,107.7,71.61,5.0,4,1,72.47,2,5.54,5.0,57.36932106,2,9,32,3,127.0,19.299999999999997,17.920148560817083
2023-08-09,4,10,2,1,247.0,71,73.0,75.75,40.0,20.0,3,0,44.05,3,6.19,5.0,42.18455077,2,9,32,3,126.0,50.25,66.33663366336634
2023-08-10,5,8,2,2,236.0,24,86.0,15.33,89.23,0.0,4,0,94.06,4,4.91,2.0,31.85801651,3,10,32,3,39.0,23.67,154.4031311154599
2023-08-10,1,8,2,2,436.0,207,147.0,204.58,20.31,20.0,2,1,16.99,2,4.08,5.0,31.85801651,3,10,32,3,216.0,11.419999999999987,5.582168344901743
2023-08-10,2,8,2,1,341.0,168,186.0,186.67,46.27,0.0,2,1,49.16,1,8.02,5.0,53.69658275,3,10,32,3,170.0,16.669999999999987,8.93019767504151
2023-08-10,3,8,2,2,148.0,28,146.0,27.47,96.95,0.0,3,0,96.16,3,8.45,2.0,31.85801651,3,10,32,3,42.0,14.530000000000001,52.894066254095385
2023-08-10,5,6,2,4,151.0,12,54.0,21.42,80.14,0.0,4,0,75.5,1,5.54,2.0,41.68578594,3,10,32,3,51.0,29.58,138.09523809523807
2023-08-10,2,5,3,1,50.0,37,150.0,48.4,23.3,10.0,1,0,28.03,1,8.21,2.0,42.16968972,3,10,32,3,43.0,5.399999999999999,11.157024793388427
2023-08-10,1,3,3,3,357.0,211,135.0,209.28,83.41,20.0,2,1,87.84,1,13.01,5.0,68.79639409,3,10,32,3,201.0,8.280000000000001,3.9564220183486243
2023-08-10,2,7,2,2,231.0,200,133.0,192.33,53.68,20.0,4,1,48.75,4,8.78,5.0,61.40703846,3,10,32,3,178.0,14.330000000000013,7.450735714657106
2023-08-10,1,7,2,3,170.0,52,111.0,63.69,14.99,5.0,3,0,10.67,1,3.2,2.0,50.56937754,3,10,32,3,37.0,26.689999999999998,41.90610770921651
2023-08-10,3,5,3,1,256.0,51,174.0,43.29,16.01,20.0,3,0,16.15,1,10.6,2.0,42.16968972,3,10,32,3,55.0,11.71,27.050127050127053
2023-08-10,4,5,3,2,437.0,145,140.0,154.69,12.62,5.0,1,0,13.04,4,8.82,5.0,50.99025727,3,10,32,3,167.0,12.310000000000002,7.957851186243456
2023-08-10,5,5,3,3,233.0,211,107.0,213.65,47.08,5.0,4,0,51.85,3,14.78,5.0,41.64916561,3,10,32,3,187.0,26.650000000000006,12.47367189328341
2023-08-10,2,3,3,3,183.0,82,44.0,79.43,63.55,10.0,2,0,60.58,2,11.11,5.0,68.79639409,3,10,32,3,149.0,69.57,87.58655419866548
2023-08-10,4,6,2,4,135.0,129,194.0,144.16,95.56,5.0,2,1,91.96,2,4.14,2.0,41.68578594,3,10,32,3,87.0,57.16,39.6503884572697
2023-08-10,1,5,3,4,264.0,77,84.0,96.69,89.02,5.0,4,0,92.32,4,14.01,5.0,47.27780075,3,10,32,3,161.0,64.31,66.51153169924501
2023-08-10,4,3,3,3,404.0,403,115.0,405.5,98.03,15.0,2,0,99.84,4,7.75,5.0,68.79639409,3,10,32,3,352.0,53.5,13.19358816276202
2023-08-10,5,18,1,3,201.0,54,142.0,70.36,14.71,20.0,2,0,16.9,1,6.66,2.0,37.94862726,3,10,32,3,51.0,19.36,27.515633882888004
2023-08-10,4,18,1,4,300.0,186,102.0,191.73,31.95,10.0,1,1,35.9,3,5.19,5.0,60.88979077,3,10,32,3,180.0,11.72999999999999,6.117978407135029
2023-08-10,3,18,1,3,136.0,105,172.0,97.12,41.08,20.0,4,0,41.13,4,6.72,2.0,37.94862726,3,10,32,3,101.0,3.8799999999999955,3.9950576606260246
2023-08-10,2,18,1,4,375.0,87,47.0,83.13,37.5,5.0,3,1,36.84,3,6.71,5.0,60.88979077,3,10,32,3,160.0,76.87,92.4696258871647
2023-08-10,1,18,1,4,330.0,237,28.0,245.27,48.83,0.0,1,0,46.24,3,5.22,5.0,60.88979077,3,10,32,3,231.0,14.27000000000001,5.818078036449631
2023-08-10,3,6,2,2,240.0,16,69.0,24.02,27.78,10.0,3,1,23.44,2,3.03,2.0,35.57975443,3,10,32,3,41.0,16.98,70.69109075770191
2023-08-10,3,3,3,4,334.0,65,77.0,71.11,87.58,10.0,1,1,83.62,1,7.78,2.0,30.82337977,3,10,32,3,55.0,16.11,22.655041485023204
2023-08-10,2,6,2,2,418.0,272,74.0,282.44,62.36,15.0,2,0,59.23,4,7.48,5.0,35.57975443,3,10,32,3,239.0,43.44,15.380257753859224
2023-08-10,4,8,2,4,289.0,184,178.0,174.33,34.48,10.0,1,1,36.22,3,6.24,2.0,54.30179408,3,10,32,3,98.0,76.33000000000001,43.784775999541104
2023-08-10,1,14,1,2,234.0,181,30.0,176.44,63.13,0.0,3,0,60.62,3,6.97,5.0,65.79309402,3,10,32,3,181.0,4.560000000000002,2.584447970981638
2023-08-10,3,7,2,3,390.0,274,49.0,274.54,80.52,20.0,1,0,84.55,2,3.74,5.0,50.56937754,3,10,32,3,243.0,31.54000000000002,11.488307714722817
2023-08-10,4,7,2,1,214.0,145,27.0,148.14,74.5,5.0,4,1,75.63,4,6.26,5.0,48.24279937,3,10,32,3,171.0,22.860000000000014,15.431348724179841
2023-08-10,5,7,2,1,63.0,28,84.0,35.68,23.54,5.0,1,1,20.05,3,9.34,2.0,48.24279937,3,10,32,3,50.0,14.32,40.134529147982065
2023-08-10,5,3,3,3,499.0,459,154.0,455.04,56.53,20.0,2,0,55.12,4,10.97,5.0,68.79639409,3,10,32,3,352.0,103.04000000000002,22.64416315049227
2023-08-10,1,6,2,2,349.0,29,141.0,33.24,12.66,5.0,3,1,7.72,3,5.26,2.0,35.57975443,3,10,32,3,34.0,0.759999999999998,2.2864019253910888
2023-08-10,2,14,1,1,401.0,223,75.0,238.6,28.01,0.0,1,0,29.28,3,2.44,5.0,67.57995766,3,10,32,3,236.0,2.5999999999999943,1.0896898575020932
2023-08-10,4,19,1,3,51.0,15,21.0,20.74,94.08,15.0,3,1,90.72,3,2.2,2.0,59.16028672,3,10,32,3,73.0,52.260000000000005,251.97685631629705
2023-08-10,4,14,1,4,186.0,145,39.0,142.26,13.55,20.0,4,0,13.26,4,3.23,5.0,53.91599915,3,10,32,3,188.0,45.74000000000001,32.152397019541695
2023-08-10,3,13,2,4,167.0,155,184.0,149.54,21.79,20.0,2,1,22.72,2,5.31,2.0,68.78338511,3,10,32,3,100.0,49.53999999999999,33.128259997325124
2023-08-10,4,17,1,3,315.0,52,100.0,61.51,51.4,20.0,2,1,54.46,4,5.25,2.0,62.08787923,3,10,32,3,62.0,0.490000000000002,0.7966184360266656
2023-08-10,3,14,1,3,440.0,287,91.0,291.39,27.78,15.0,2,0,28.54,1,5.73,5.0,66.8749694,3,10,32,3,290.0,1.3899999999999864,0.4770239198325222
2023-08-10,3,17,1,3,375.0,292,42.0,290.39,54.02,15.0,1,1,53.06,2,3.82,5.0,62.08787923,3,10,32,3,283.0,7.389999999999986,2.5448534729157295
2023-08-10,2,17,1,1,251.0,223,90.0,240.57,94.05,10.0,3,0,97.95,4,3.79,5.0,41.23738039,3,10,32,3,230.0,10.569999999999993,4.393731554225379
2023-08-10,1,17,1,3,149.0,37,52.0,49.97,33.73,5.0,4,0,31.12,1,3.23,2.0,62.08787923,3,10,32,3,49.0,0.9699999999999989,1.9411646988192892
2023-08-10,4,13,2,3,65.0,8,50.0,22.25,97.43,15.0,1,1,98.38,4,8.22,2.0,61.00531293,3,10,32,3,57.0,34.75,156.17977528089887
2023-08-10,5,13,2,1,91.0,70,41.0,62.72,67.59,15.0,1,1,67.76,1,4.8,5.0,51.86841117,3,10,32,3,152.0,89.28,142.3469387755102
2023-08-10,1,9,2,3,59.0,59,148.0,64.44,70.74,20.0,3,0,70.61,3,7.3,2.0,62.33589392,3,10,32,3,47.0,17.439999999999998,27.063935443823713
2023-08-10,2,9,2,3,191.0,65,70.0,64.27,84.69,10.0,1,1,84.98,3,8.94,2.0,62.33589392,3,10,32,3,48.0,16.269999999999996,25.31507701882682
2023-08-10,5,16,1,1,165.0,31,90.0,23.45,61.98,15.0,4,0,65.66,4,3.25,2.0,45.54709159,3,10,32,3,45.0,21.55,91.89765458422175
2023-08-10,1,10,2,2,169.0,120,140.0,133.67,59.54,20.0,2,0,54.77,1,3.45,2.0,33.90688456,3,10,32,3,68.0,65.66999999999999,49.12845066207825
2023-08-10,2,10,2,2,375.0,272,40.0,269.79,82.31,5.0,2,1,84.55,4,8.73,5.0,33.90688456,3,10,32,3,228.0,41.79000000000002,15.48982541977094
2023-08-10,3,10,2,2,216.0,51,52.0,52.38,60.3,20.0,4,0,63.13,1,7.73,5.0,33.90688456,3,10,32,3,118.0,65.62,125.27682321496754
2023-08-10,4,10,2,4,189.0,71,33.0,74.8,32.62,15.0,4,0,33.26,3,5.81,5.0,57.36932106,3,10,32,3,133.0,58.2,77.80748663101605
2023-08-10,5,10,2,4,134.0,58,76.0,61.19,72.94,15.0,1,1,70.72,2,9.76,2.0,57.36932106,3,10,32,3,45.0,16.189999999999998,26.458571662036277
2023-08-10,4,16,1,3,82.0,60,117.0,79.64,72.4,20.0,1,1,76.54,4,7.53,2.0,44.27013307,3,10,32,3,48.0,31.64,39.728779507785035
2023-08-10,3,16,1,2,274.0,217,34.0,226.7,69.95,10.0,1,1,68.37,2,4.57,5.0,40.85396127,3,10,32,3,211.0,15.699999999999989,6.925452139391261
2023-08-10,2,16,1,2,431.0,21,69.0,11.15,66.89,10.0,2,0,65.18,1,4.66,2.0,40.85396127,3,10,32,3,34.0,22.85,204.93273542600895
2023-08-10,2,13,2,2,358.0,314,170.0,316.49,32.31,5.0,2,0,34.25,2,4.51,5.0,37.39417822,3,10,32,3,295.0,21.49000000000001,6.790103952731527
2023-08-10,1,16,1,3,67.0,14,45.0,21.21,33.83,20.0,3,1,29.32,4,4.26,2.0,44.27013307,3,10,32,3,32.0,10.79,50.87223008015087
2023-08-10,1,13,2,3,394.0,79,122.0,88.39,87.08,0.0,3,1,91.84,2,5.26,2.0,61.00531293,3,10,32,3,88.0,0.39000000000000057,0.44122638307500917
2023-08-10,2,12,2,4,382.0,244,175.0,245.7,83.08,0.0,4,1,83.14,3,8.95,5.0,42.46844304,3,10,32,3,244.0,1.6999999999999886,0.6919006919006874
2023-08-10,5,20,1,2,55.0,49,95.0,49.57,64.7,20.0,4,1,63.96,2,5.74,2.0,32.96178607,3,10,32,3,31.0,18.57,37.46217470244099
2023-08-10,4,20,1,1,196.0,142,161.0,132.36,16.45,5.0,2,1,21.14,3,5.16,2.0,60.85081387,3,10,32,3,88.0,44.360000000000014,33.51465699607133
2023-08-10,3,20,1,1,228.0,155,167.0,150.79,20.78,0.0,1,1,25.16,4,5.27,2.0,60.85081387,3,10,32,3,83.0,67.78999999999999,44.95656210624047
2023-08-10,2,20,1,2,139.0,45,69.0,58.44,83.9,15.0,1,0,80.11,4,7.46,2.0,32.96178607,3,10,32,3,28.0,30.439999999999998,52.087611225188226
2023-08-10,1,20,1,3,243.0,74,84.0,65.03,37.3,5.0,4,1,34.0,1,3.84,2.0,34.63476238,3,10,32,3,79.0,13.969999999999999,21.48239274181147
2023-08-10,1,4,3,4,79.0,49,175.0,54.5,17.26,5.0,3,1,16.09,2,10.94,2.0,37.27299869,3,10,32,3,49.0,5.5,10.091743119266056
