Sales ID,Date,Store ID,Product ID,Product_Name,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Customer ID
28,1/1/2022,2,8,Jeans,Clothing,West,29,66.96,20,Snowy,0,65.36,Summer,3243
29,1/1/2022,2,9,Trousers,Clothing,South,9,81.29,5,Rainy,1,82.06,Winter,1562
30,1/1/2022,2,10,T-shirt,Clothing,North,126,60.84,0,Snowy,1,65.22,Winter,3872
31,1/1/2022,2,11,Shorts,Clothing,West,13,34.62,0,Snowy,1,33.98,Autumn,1919
32,1/1/2022,2,12,Skirt,Clothing,East,25,19.56,5,Rainy,1,19.01,Winter,1803
33,1/1/2022,2,13,Saree,Clothing,East,283,57.78,20,Cloudy,0,58.5,Spring,2246
34,1/1/2022,2,14,Bag,Accessories,East,359,91.28,20,Cloudy,0,90.85,Summer,704
35,1/1/2022,2,15,Belt,Accessories,South,129,59.9,15,Sunny,1,55.23,Winter,2223
36,1/1/2022,2,16,Gloves,Accessories,South,63,45.65,20,Rainy,1,42.17,Spring,1987
37,1/1/2022,2,17,Fragrances,Accessories,West,373,11.71,20,Cloudy,1,10,Winter,978
38,1/1/2022,2,18,Wristwear,Accessories,North,160,58.84,5,Cloudy,0,54.39,Summer,1432
39,1/1/2022,2,19,Sunglasses,Accessories,East,15,84.99,5,Sunny,1,81.02,Winter,1124
40,1/1/2022,2,20,Hat,Accessories,West,101,87.1,0,Rainy,1,91.56,Spring,3638
41,1/1/2022,3,1,Coat,Outerwear,South,147,67.21,5,Sunny,1,67.39,Summer,2917
42,1/1/2022,3,2,Hoodie,Outerwear,West,4,28.2,10,Sunny,1,25.63,Spring,2582
43,1/1/2022,3,3,Jacket,Outerwear,South,77,56.16,10,Sunny,1,57.16,Spring,1951
44,1/1/2022,3,4,Overcoat,Outerwear,South,31,89.53,20,Rainy,1,93.6,Winter,3538
45,1/1/2022,3,5,Blazer,Outerwear,West,325,97.95,20,Sunny,0,93.54,Winter,1165
46,1/1/2022,3,6,Blouse,Clothing,North,163,76.37,5,Rainy,1,71.38,Summer,2038
47,1/1/2022,3,7,Shirt,Clothing,North,34,86.99,15,Rainy,1,90.5,Summer,3672
48,1/1/2022,3,8,Jeans,Clothing,North,47,66.53,15,Cloudy,1,70.46,Spring,481
49,1/1/2022,3,9,Trousers,Clothing,South,15,74.86,15,Snowy,1,73.93,Winter,683
50,1/1/2022,3,10,T-shirt,Clothing,South,126,97.09,5,Rainy,1,95.8,Summer,1060
51,1/1/2022,3,11,Shorts,Clothing,East,232,56.19,0,Snowy,1,57.85,Winter,806
52,1/1/2022,3,12,Skirt,Clothing,North,175,90.38,20,Cloudy,0,89.52,Summer,1132
53,1/1/2022,3,13,Saree,Clothing,North,17,73.98,20,Cloudy,1,76.65,Summer,3164
54,1/1/2022,3,14,Bag,Accessories,South,369,79.03,5,Rainy,0,82.51,Spring,720
55,1/1/2022,3,15,Belt,Accessories,West,260,27.72,5,Snowy,0,23.28,Autumn,2263
56,1/1/2022,3,16,Gloves,Accessories,South,347,98.18,15,Rainy,0,99.58,Winter,2460
57,1/1/2022,3,17,Fragrances,Accessories,East,150,27.1,5,Cloudy,1,27.4,Spring,3270
58,1/1/2022,3,18,Wristwear,Accessories,West,70,97.08,15,Snowy,1,94.88,Winter,3125
59,1/1/2022,3,19,Sunglasses,Accessories,East,249,26.71,15,Cloudy,1,24.81,Summer,1201
60,1/1/2022,3,20,Hat,Accessories,North,370,95.85,20,Cloudy,1,95.7,Spring,1135
61,1/1/2022,4,1,Coat,Outerwear,South,271,15.62,15,Sunny,0,16.09,Winter,10
62,1/1/2022,4,2,Hoodie,Outerwear,North,180,41.13,5,Sunny,0,45.05,Autumn,2057
63,1/1/2022,4,3,Jacket,Outerwear,West,344,89.32,20,Cloudy,0,93,Autumn,1222
64,1/1/2022,4,4,Overcoat,Outerwear,West,0,87.23,10,Sunny,0,90.36,Spring,3440
65,1/1/2022,4,5,Blazer,Outerwear,North,200,81.72,0,Snowy,1,85.22,Spring,1273
66,1/1/2022,4,6,Blouse,Clothing,East,382,41.35,10,Snowy,0,39.86,Summer,2470
67,1/1/2022,4,7,Shirt,Clothing,West,190,67.26,20,Cloudy,0,64.78,Summer,400
68,1/1/2022,4,8,Jeans,Clothing,South,51,85.88,20,Snowy,1,86.14,Winter,2041
69,1/1/2022,4,9,Trousers,Clothing,North,40,59.23,10,Rainy,1,61.1,Summer,1637
70,1/1/2022,4,10,T-shirt,Clothing,East,104,33.48,15,Cloudy,0,37.15,Summer,2524
71,1/1/2022,4,11,Shorts,Clothing,West,46,54.84,0,Sunny,1,57.76,Spring,1194
72,1/1/2022,4,12,Skirt,Clothing,North,9,14.25,5,Rainy,1,18.56,Spring,1460
73,1/1/2022,4,13,Saree,Clothing,East,56,61.81,0,Sunny,0,63.92,Autumn,1933
74,1/1/2022,4,14,Bag,Accessories,West,63,66.94,10,Snowy,1,68.47,Winter,3086
75,1/1/2022,4,15,Belt,Accessories,South,181,60.54,5,Cloudy,0,65.27,Autumn,3857
76,1/1/2022,4,16,Gloves,Accessories,South,94,94.26,15,Rainy,0,96.74,Summer,3449
77,1/1/2022,4,17,Fragrances,Accessories,South,46,25.55,0,Rainy,0,28.07,Winter,188
78,1/1/2022,4,18,Wristwear,Accessories,West,8,16.73,5,Cloudy,1,18.79,Spring,2916
79,1/1/2022,4,19,Sunglasses,Accessories,West,172,71.2,15,Rainy,1,73.85,Spring,129
80,1/1/2022,4,20,Hat,Accessories,West,68,11.5,20,Snowy,0,9.26,Winter,1567
81,1/1/2022,5,1,Coat,Outerwear,West,77,70.33,10,Cloudy,0,70.29,Winter,696
82,1/1/2022,5,2,Hoodie,Outerwear,West,298,57.15,5,Snowy,1,60.71,Autumn,2488
83,1/1/2022,5,3,Jacket,Outerwear,North,64,36.17,5,Sunny,0,40.93,Spring,1847
84,1/1/2022,5,4,Overcoat,Outerwear,West,300,50.77,15,Snowy,1,54.7,Spring,3002
85,1/1/2022,5,5,Blazer,Outerwear,West,21,92.86,15,Rainy,1,96.3,Winter,3479
86,1/1/2022,5,6,Blouse,Clothing,North,176,60.76,20,Cloudy,0,61.15,Summer,209
87,1/1/2022,5,7,Shirt,Clothing,South,131,46.47,15,Snowy,0,50.84,Summer,218
88,1/1/2022,5,8,Jeans,Clothing,West,317,34.08,5,Snowy,1,30.44,Winter,3181
89,1/1/2022,5,9,Trousers,Clothing,West,97,87.81,5,Snowy,0,85.45,Spring,1084
90,1/1/2022,5,10,T-shirt,Clothing,East,8,37.04,10,Rainy,1,36.87,Summer,1094
91,1/1/2022,5,11,Shorts,Clothing,West,104,54.12,10,Rainy,1,53.03,Summer,632
92,1/1/2022,5,12,Skirt,Clothing,West,87,67.64,15,Sunny,0,63.53,Summer,250
93,1/1/2022,5,13,Saree,Clothing,South,238,82.18,5,Cloudy,0,87.09,Summer,2315
94,1/1/2022,5,14,Bag,Accessories,South,171,42.62,20,Cloudy,1,42.01,Autumn,3313
95,1/1/2022,5,15,Belt,Accessories,West,250,11.54,10,Cloudy,0,11.27,Spring,3126
96,1/1/2022,5,16,Gloves,Accessories,South,11,16.3,5,Sunny,0,17.98,Winter,1018
97,1/1/2022,5,17,Fragrances,Accessories,East,371,98.31,15,Sunny,1,102.42,Spring,337
98,1/1/2022,5,18,Wristwear,Accessories,West,107,48.96,10,Snowy,1,50.03,Spring,2401
99,1/1/2022,5,19,Sunglasses,Accessories,South,106,88.22,5,Rainy,0,91.16,Spring,2356
100,1/1/2022,5,20,Hat,Accessories,South,101,11.04,10,Snowy,1,9.14,Autumn,998
101,1/2/2022,1,1,Coat,Outerwear,West,81,27.95,10,Cloudy,0,30.89,Spring,2471
102,1/2/2022,1,2,Hoodie,Outerwear,West,163,19.78,15,Cloudy,0,18.76,Spring,3246
103,1/2/2022,1,3,Jacket,Outerwear,South,464,70.99,10,Snowy,0,72.93,Summer,2123
104,1/2/2022,1,4,Overcoat,Outerwear,East,116,49.56,5,Snowy,0,50.46,Summer,3615
105,1/2/2022,1,5,Blazer,Outerwear,East,200,23.76,15,Sunny,1,19.19,Summer,3635
106,1/2/2022,1,6,Blouse,Clothing,East,58,47.56,0,Snowy,1,46.82,Summer,1203
107,1/2/2022,1,7,Shirt,Clothing,North,56,17.1,5,Snowy,1,17,Autumn,3410
108,1/2/2022,1,8,Jeans,Clothing,East,74,58.89,5,Cloudy,0,61.56,Autumn,770
109,1/2/2022,1,9,Trousers,Clothing,South,54,99.76,20,Cloudy,0,95.61,Spring,567
110,1/2/2022,1,10,T-shirt,Clothing,North,39,11.44,5,Sunny,0,12.71,Summer,2134
111,1/2/2022,1,11,Shorts,Clothing,East,12,53.84,0,Cloudy,1,53.79,Spring,2564
112,1/2/2022,1,12,Skirt,Clothing,East,56,57.84,5,Snowy,1,60.99,Summer,290
113,1/2/2022,1,13,Saree,Clothing,North,31,35.51,15,Cloudy,1,31.06,Autumn,3876
114,1/2/2022,1,14,Bag,Accessories,West,25,31.41,0,Cloudy,1,28.6,Spring,1194
115,1/2/2022,1,15,Belt,Accessories,East,198,28.06,20,Cloudy,1,30.29,Winter,99
116,1/2/2022,1,16,Gloves,Accessories,West,77,35.67,15,Snowy,0,38.02,Summer,2593
117,1/2/2022,1,17,Fragrances,Accessories,West,165,28.18,5,Cloudy,0,27.5,Autumn,171
118,1/2/2022,1,18,Wristwear,Accessories,North,42,74.42,5,Snowy,0,69.67,Summer,3389
119,1/2/2022,1,19,Sunglasses,Accessories,South,8,91.95,5,Cloudy,1,87.43,Spring,358
120,1/2/2022,1,20,Hat,Accessories,North,174,97.88,0,Snowy,0,99.5,Autumn,1352
121,1/2/2022,2,1,Coat,Outerwear,West,343,66.57,20,Rainy,1,63.92,Summer,1408
122,1/2/2022,2,2,Hoodie,Outerwear,West,71,90.36,5,Rainy,0,86.73,Winter,3401
123,1/2/2022,2,3,Jacket,Outerwear,West,157,92.24,5,Snowy,1,89.57,Autumn,1595
124,1/2/2022,2,4,Overcoat,Outerwear,South,88,68.71,0,Snowy,0,69.34,Spring,351
125,1/2/2022,2,5,Blazer,Outerwear,North,64,87.22,5,Cloudy,1,90.59,Spring,428
126,1/2/2022,2,6,Blouse,Clothing,East,273,79.38,0,Rainy,0,77.28,Autumn,1365
127,1/2/2022,2,7,Shirt,Clothing,North,247,17.41,15,Snowy,0,13.57,Summer,3461
128,1/2/2022,2,8,Jeans,Clothing,North,42,14.8,15,Sunny,1,13.94,Spring,1740
129,1/2/2022,2,9,Trousers,Clothing,North,197,30.5,0,Sunny,0,28.86,Spring,1575
130,1/2/2022,2,10,T-shirt,Clothing,West,374,27.84,15,Cloudy,1,32,Spring,2175
131,1/2/2022,2,11,Shorts,Clothing,East,154,88.62,0,Cloudy,0,86.3,Winter,2048
132,1/2/2022,2,12,Skirt,Clothing,North,236,82.35,20,Rainy,0,83.13,Autumn,3701
133,1/2/2022,2,13,Saree,Clothing,North,278,92.57,10,Sunny,1,97.09,Summer,3669
134,1/2/2022,2,14,Bag,Accessories,West,27,94.38,5,Rainy,0,89.47,Autumn,2950
135,1/2/2022,2,15,Belt,Accessories,North,106,70.59,0,Cloudy,1,75.27,Winter,3821
136,1/2/2022,2,16,Gloves,Accessories,West,154,63.13,10,Sunny,0,67.23,Autumn,1919
137,1/2/2022,2,17,Fragrances,Accessories,West,176,46.04,5,Rainy,1,41.4,Autumn,1452
138,1/2/2022,2,18,Wristwear,Accessories,East,124,21.07,10,Sunny,0,21.71,Autumn,2941
139,1/2/2022,2,19,Sunglasses,Accessories,East,479,79.11,0,Cloudy,0,80.06,Winter,2364
140,1/2/2022,2,20,Hat,Accessories,South,78,64.99,0,Sunny,1,65.4,Summer,2775
141,1/2/2022,3,1,Coat,Outerwear,West,114,73.48,10,Cloudy,0,72.55,Autumn,2473
142,1/2/2022,3,2,Hoodie,Outerwear,East,2,87.5,0,Rainy,0,91.2,Autumn,2090
143,1/2/2022,3,3,Jacket,Outerwear,East,7,88.68,20,Cloudy,1,87.38,Autumn,731
144,1/2/2022,3,4,Overcoat,Outerwear,West,54,82.36,20,Snowy,0,85.85,Autumn,3315
145,1/2/2022,3,5,Blazer,Outerwear,East,282,38.56,5,Cloudy,0,36.57,Winter,527
146,1/2/2022,3,6,Blouse,Clothing,East,93,97.74,0,Cloudy,0,97.69,Winter,770
147,1/2/2022,3,7,Shirt,Clothing,West,85,37.68,15,Cloudy,0,36.72,Autumn,3495
148,1/2/2022,3,8,Jeans,Clothing,South,136,36.03,5,Rainy,0,37.49,Spring,3444
149,1/2/2022,3,9,Trousers,Clothing,West,140,88.97,0,Snowy,1,91.53,Spring,3311
150,1/2/2022,3,10,T-shirt,Clothing,West,79,16.48,10,Cloudy,1,21.42,Spring,2717
151,1/2/2022,3,11,Shorts,Clothing,South,106,58.37,10,Cloudy,1,58.1,Autumn,1625
152,1/2/2022,3,12,Skirt,Clothing,West,1,27.86,5,Snowy,1,31.78,Winter,3364
153,1/2/2022,3,13,Saree,Clothing,West,203,39.14,5,Rainy,1,35.3,Autumn,2465
154,1/2/2022,3,14,Bag,Accessories,North,368,66.51,0,Cloudy,0,70.84,Spring,2538
155,1/2/2022,3,15,Belt,Accessories,East,286,89.65,20,Snowy,0,84.99,Winter,182
156,1/2/2022,3,16,Gloves,Accessories,South,69,86.7,20,Rainy,0,91.05,Spring,1694
157,1/2/2022,3,17,Fragrances,Accessories,South,52,29.69,20,Snowy,0,25.27,Summer,2530
158,1/2/2022,3,18,Wristwear,Accessories,East,109,86.93,10,Rainy,1,82.59,Winter,2146
159,1/2/2022,3,19,Sunglasses,Accessories,North,50,59.33,10,Cloudy,0,54.98,Spring,1406
160,1/2/2022,3,20,Hat,Accessories,East,0,57.07,10,Rainy,1,53.34,Summer,1525
161,1/2/2022,4,1,Coat,Outerwear,North,22,74.16,15,Rainy,0,69.74,Autumn,2419
162,1/2/2022,4,2,Hoodie,Outerwear,East,45,59.38,0,Sunny,1,62.4,Spring,3310
163,1/2/2022,4,3,Jacket,Outerwear,East,89,48.18,0,Sunny,1,49.64,Spring,3342
164,1/2/2022,4,4,Overcoat,Outerwear,East,209,94.75,20,Snowy,0,90.1,Autumn,1646
165,1/2/2022,4,5,Blazer,Outerwear,West,4,60.89,5,Sunny,0,59.42,Autumn,1242
166,1/2/2022,4,6,Blouse,Clothing,East,47,14.71,5,Cloudy,0,16.85,Autumn,2304
167,1/2/2022,4,7,Shirt,Clothing,West,115,33.09,10,Rainy,0,28.55,Spring,3656
168,1/2/2022,4,8,Jeans,Clothing,South,27,98.75,15,Snowy,0,102.7,Summer,726
169,1/2/2022,4,9,Trousers,Clothing,South,90,12.4,20,Snowy,0,8.56,Autumn,1467
170,1/2/2022,4,10,T-shirt,Clothing,South,206,92.01,15,Snowy,1,87.81,Autumn,2676
171,1/2/2022,4,11,Shorts,Clothing,East,328,92.12,20,Sunny,1,87.37,Spring,182
172,1/2/2022,4,12,Skirt,Clothing,South,155,37.39,20,Sunny,0,38.71,Spring,1360
173,1/2/2022,4,13,Saree,Clothing,West,184,85.35,10,Rainy,1,80.79,Spring,1633
174,1/2/2022,4,14,Bag,Accessories,East,16,82.64,0,Cloudy,0,78.35,Autumn,159
175,1/2/2022,4,15,Belt,Accessories,North,90,92.19,10,Snowy,1,97.07,Summer,2578
176,1/2/2022,4,16,Gloves,Accessories,West,178,61.41,0,Sunny,0,61.32,Spring,723
177,1/2/2022,4,17,Fragrances,Accessories,South,256,96.47,20,Cloudy,0,93.35,Spring,1051
178,1/2/2022,4,18,Wristwear,Accessories,South,27,89.33,0,Sunny,0,89.63,Spring,505
179,1/2/2022,4,19,Sunglasses,Accessories,North,67,59.49,20,Rainy,1,57.55,Spring,3164
180,1/2/2022,4,20,Hat,Accessories,North,84,73.05,15,Sunny,1,74.55,Autumn,2521
181,1/2/2022,5,1,Coat,Outerwear,East,67,67.49,5,Sunny,0,65.24,Winter,300
182,1/2/2022,5,2,Hoodie,Outerwear,West,15,66.05,10,Sunny,1,65.16,Autumn,263
183,1/2/2022,5,3,Jacket,Outerwear,West,333,80.88,20,Rainy,1,84.97,Winter,2291
184,1/2/2022,5,4,Overcoat,Outerwear,North,56,60.5,10,Cloudy,1,64.88,Spring,2727
185,1/2/2022,5,5,Blazer,Outerwear,West,165,71.72,20,Rainy,0,75.17,Autumn,2510
186,1/2/2022,5,6,Blouse,Clothing,North,54,69.21,15,Rainy,1,71.17,Summer,2511
187,1/2/2022,5,7,Shirt,Clothing,East,93,70.69,20,Snowy,0,71.37,Winter,1549
188,1/2/2022,5,8,Jeans,Clothing,East,250,63.54,15,Cloudy,0,61.05,Summer,3343
189,1/2/2022,5,9,Trousers,Clothing,West,90,78.08,10,Sunny,0,73.69,Winter,2092
190,1/2/2022,5,10,T-shirt,Clothing,West,83,43.09,10,Sunny,1,47.02,Spring,2637
191,1/2/2022,5,11,Shorts,Clothing,East,16,25.67,5,Sunny,1,27.78,Winter,1938
192,1/2/2022,5,12,Skirt,Clothing,West,87,38.59,20,Rainy,0,33.87,Spring,941
193,1/2/2022,5,13,Saree,Clothing,East,241,57.99,5,Sunny,0,55.4,Spring,3073
194,1/2/2022,5,14,Bag,Accessories,South,286,14.65,20,Snowy,1,13.12,Winter,2617
195,1/2/2022,5,15,Belt,Accessories,West,60,63.26,0,Rainy,1,61.02,Autumn,1535
196,1/2/2022,5,16,Gloves,Accessories,East,437,43.64,15,Cloudy,1,39.13,Autumn,884
197,1/2/2022,5,17,Fragrances,Accessories,North,377,84.85,20,Sunny,1,84.29,Summer,922
198,1/2/2022,5,18,Wristwear,Accessories,West,83,47.05,15,Rainy,1,47.89,Spring,2639
199,1/2/2022,5,19,Sunglasses,Accessories,West,203,76.83,20,Snowy,0,75.86,Spring,3014
200,1/2/2022,5,20,Hat,Accessories,South,183,93.95,10,Sunny,1,98.89,Spring,3820
201,1/3/2022,1,1,Coat,Outerwear,West,5,62.7,20,Rainy,0,58.22,Winter,1806
202,1/3/2022,1,2,Hoodie,Outerwear,East,199,54.02,0,Cloudy,0,52.91,Spring,3233
203,1/3/2022,1,3,Jacket,Outerwear,South,176,26.03,10,Rainy,0,29.38,Winter,232
204,1/3/2022,1,4,Overcoat,Outerwear,East,214,10.19,0,Cloudy,1,7.82,Winter,253
205,1/3/2022,1,5,Blazer,Outerwear,West,165,95.54,0,Sunny,0,91.29,Spring,1871
206,1/3/2022,1,6,Blouse,Clothing,South,9,57.65,5,Sunny,0,58.01,Summer,2980
207,1/3/2022,1,7,Shirt,Clothing,South,140,87.85,20,Sunny,0,91.9,Winter,3105
208,1/3/2022,1,8,Jeans,Clothing,West,177,53.94,5,Snowy,0,51.47,Autumn,1810
209,1/3/2022,1,9,Trousers,Clothing,South,217,61.42,20,Sunny,0,65.86,Winter,1131
210,1/3/2022,1,10,T-shirt,Clothing,West,47,99.14,10,Snowy,0,102.66,Autumn,790
211,1/3/2022,1,11,Shorts,Clothing,East,3,60.52,0,Cloudy,0,62.72,Autumn,3533
212,1/3/2022,1,12,Skirt,Clothing,East,2,86.93,15,Cloudy,0,83.11,Summer,1199
213,1/3/2022,1,13,Saree,Clothing,South,18,83.11,10,Snowy,1,85.16,Summer,1611
214,1/3/2022,1,14,Bag,Accessories,South,242,32.28,10,Rainy,1,30.1,Winter,643
215,1/3/2022,1,15,Belt,Accessories,North,228,52.17,10,Sunny,1,52.43,Summer,283
216,1/3/2022,1,16,Gloves,Accessories,East,31,93.61,15,Snowy,1,94.15,Spring,2249
217,1/3/2022,1,17,Fragrances,Accessories,North,16,98.25,5,Sunny,0,100.34,Spring,331
218,1/3/2022,1,18,Wristwear,Accessories,East,20,78.53,5,Rainy,0,75.48,Autumn,1022
219,1/3/2022,1,19,Sunglasses,Accessories,South,193,56.91,0,Sunny,1,54.2,Spring,1880
220,1/3/2022,1,20,Hat,Accessories,North,118,35.32,20,Cloudy,1,37.56,Summer,2206
221,1/3/2022,2,1,Coat,Outerwear,North,96,48.08,0,Rainy,1,49.4,Autumn,314
222,1/3/2022,2,2,Hoodie,Outerwear,North,48,46.95,15,Snowy,1,43.48,Summer,2352
223,1/3/2022,2,3,Jacket,Outerwear,West,130,94.45,20,Cloudy,1,99.26,Winter,564
224,1/3/2022,2,4,Overcoat,Outerwear,North,11,27.28,10,Snowy,1,28.61,Autumn,787
225,1/3/2022,2,5,Blazer,Outerwear,West,313,29.74,0,Snowy,1,31.67,Winter,1013
226,1/3/2022,2,6,Blouse,Clothing,North,352,27.64,5,Snowy,0,27.19,Summer,2851
227,1/3/2022,2,7,Shirt,Clothing,South,265,60.54,5,Rainy,0,55.83,Autumn,2460
228,1/3/2022,2,8,Jeans,Clothing,South,11,58.55,10,Cloudy,0,63.45,Summer,1711
229,1/3/2022,2,9,Trousers,Clothing,South,191,58.59,0,Cloudy,0,60.98,Summer,562
230,1/3/2022,2,10,T-shirt,Clothing,West,185,95.48,0,Rainy,1,91.76,Winter,3495
231,1/3/2022,2,11,Shorts,Clothing,North,143,37.81,20,Snowy,1,37.14,Autumn,878
232,1/3/2022,2,12,Skirt,Clothing,West,85,48.7,10,Rainy,0,51.33,Spring,2860
233,1/3/2022,2,13,Saree,Clothing,West,270,65.89,10,Cloudy,0,64.52,Summer,818
234,1/3/2022,2,14,Bag,Accessories,West,233,20.37,0,Rainy,1,23.3,Spring,2401
235,1/3/2022,2,15,Belt,Accessories,West,187,46.25,0,Snowy,0,49.2,Spring,2785
236,1/3/2022,2,16,Gloves,Accessories,South,39,71.74,10,Rainy,0,76.17,Winter,3159
237,1/3/2022,2,17,Fragrances,Accessories,West,234,20.57,10,Rainy,1,22.24,Autumn,338
238,1/3/2022,2,18,Wristwear,Accessories,South,213,29.88,20,Rainy,1,25.73,Autumn,2267
239,1/3/2022,2,19,Sunglasses,Accessories,North,55,73.98,15,Rainy,1,73.5,Winter,382
240,1/3/2022,2,20,Hat,Accessories,South,22,45.02,10,Sunny,0,47.01,Spring,2043
241,1/3/2022,3,1,Coat,Outerwear,North,100,82.88,10,Sunny,1,86.74,Autumn,2417
242,1/3/2022,3,2,Hoodie,Outerwear,North,353,17.36,0,Cloudy,1,17.32,Spring,1769
243,1/3/2022,3,3,Jacket,Outerwear,West,255,42.7,20,Snowy,0,40.38,Autumn,1487
244,1/3/2022,3,4,Overcoat,Outerwear,South,154,89.67,15,Sunny,0,88.99,Autumn,2012
245,1/3/2022,3,5,Blazer,Outerwear,East,147,65.77,0,Cloudy,1,61.06,Spring,1938
246,1/3/2022,3,6,Blouse,Clothing,North,342,95.74,10,Cloudy,0,94.29,Summer,2566
247,1/3/2022,3,7,Shirt,Clothing,West,54,98.9,0,Cloudy,0,97.62,Summer,935
248,1/3/2022,3,8,Jeans,Clothing,East,289,41.11,15,Cloudy,0,36.9,Summer,1233
249,1/3/2022,3,9,Trousers,Clothing,South,179,42.07,0,Snowy,1,37.66,Winter,1404
250,1/3/2022,3,10,T-shirt,Clothing,South,175,95.89,0,Rainy,1,96.19,Autumn,3488
251,1/3/2022,3,11,Shorts,Clothing,West,209,84.12,5,Sunny,0,89.06,Spring,1526
252,1/3/2022,3,12,Skirt,Clothing,East,109,71.21,20,Rainy,1,74.71,Summer,3411
253,1/3/2022,3,13,Saree,Clothing,South,43,49.23,0,Rainy,1,47.75,Spring,975
254,1/3/2022,3,14,Bag,Accessories,South,58,21.87,10,Rainy,1,25,Autumn,3129
255,1/3/2022,3,15,Belt,Accessories,South,399,60.83,0,Cloudy,1,60.34,Spring,2186
256,1/3/2022,3,16,Gloves,Accessories,West,95,56.78,20,Rainy,0,60.75,Winter,23
257,1/3/2022,3,17,Fragrances,Accessories,West,296,76.12,5,Snowy,0,77.55,Spring,1788
258,1/3/2022,3,18,Wristwear,Accessories,East,105,98.9,10,Sunny,0,96.55,Winter,989
259,1/3/2022,3,19,Sunglasses,Accessories,East,103,46.24,5,Cloudy,0,47.84,Autumn,2146
260,1/3/2022,3,20,Hat,Accessories,South,131,16.35,15,Cloudy,0,19.59,Autumn,1817
261,1/3/2022,4,1,Coat,Outerwear,East,66,83.63,15,Sunny,0,79.9,Summer,2959
262,1/3/2022,4,2,Hoodie,Outerwear,West,163,81.57,0,Cloudy,1,77.66,Winter,1117
263,1/3/2022,4,3,Jacket,Outerwear,South,98,44.68,10,Snowy,0,42.55,Spring,3569
264,1/3/2022,4,4,Overcoat,Outerwear,East,150,60.11,0,Rainy,1,62.3,Summer,2116
265,1/3/2022,4,5,Blazer,Outerwear,North,15,24.63,20,Snowy,0,27.97,Winter,1670
266,1/3/2022,4,6,Blouse,Clothing,North,36,36.31,5,Cloudy,1,34.82,Autumn,1715
267,1/3/2022,4,7,Shirt,Clothing,East,303,11.36,15,Cloudy,1,15.64,Autumn,844
268,1/3/2022,4,8,Jeans,Clothing,East,209,63.1,10,Rainy,1,65.17,Winter,2204
